date,open,high,low,close,volume
2019-03-28,22235.0,22640.0,22185.0,22570.0,784448
2019-03-29,22570.0,22745.0,22410.0,22730.0,566388
2019-04-01,22835.0,23160.0,22730.0,23135.0,572050
2019-04-02,23105.0,23105.0,22660.0,22815.0,457090
2019-04-03,22780.0,22965.0,22565.0,22905.0,477366
2019-04-04,22895.0,23275.0,22830.0,23095.0,507168
2019-04-08,23160.0,23280.0,22835.0,22850.0,269338
2019-04-09,22870.0,23060.0,22540.0,22740.0,452474
2019-04-10,22695.0,22740.0,22505.0,22585.0,349138
2019-04-11,22320.0,22555.0,22250.0,22395.0,413134
2019-04-12,22460.0,22525.0,22185.0,22335.0,511586
2019-04-15,22465.0,22635.0,22380.0,22500.0,504002
2019-04-16,22420.0,22440.0,22080.0,22095.0,528332
2019-04-17,21940.0,21995.0,21715.0,21785.0,537894
2019-04-18,21875.0,21920.0,21490.0,21535.0,553064
2019-04-19,21485.0,21670.0,21420.0,21640.0,455518
2019-04-23,21660.0,21775.0,21585.0,21680.0,386958
2019-04-24,21620.0,21625.0,21260.0,21270.0,528744
2019-04-25,21380.0,21560.0,21330.0,21510.0,520890
2019-04-26,21450.0,21795.0,21400.0,21720.0,476668
2019-04-29,21750.0,21765.0,21535.0,21720.0,469952
2019-04-30,21665.0,21910.0,21615.0,21810.0,442904
2019-05-06,21525.0,21780.0,21440.0,21500.0,215190
2019-05-07,21510.0,21720.0,21445.0,21620.0,334620
2019-05-08,21440.0,21535.0,21175.0,21210.0,437164
2019-05-09,21090.0,21165.0,20995.0,21090.0,377078
2019-05-10,21035.0,21310.0,20970.0,21095.0,372206
2019-05-13,21135.0,21155.0,20990.0,21060.0,67811
2019-05-14,21000.0,21025.0,20735.0,20970.0,76022
2019-05-15,21040.0,21285.0,20960.0,21270.0,52246
2019-05-16,20910.0,21165.0,20895.0,21085.0,438808
2019-05-17,21090.0,21160.0,20835.0,20870.0,404776
2019-05-20,20910.0,21070.0,20550.0,20615.0,517512
2019-05-21,20580.0,20755.0,20515.0,20670.0,485526
2019-05-22,20640.0,20775.0,20415.0,20455.0,593962
2019-05-23,20500.0,20600.0,20260.0,20270.0,460248
2019-05-24,20225.0,20590.0,20000.0,20435.0,688546
2019-05-27,20390.0,20415.0,20185.0,20360.0,480358
2019-05-28,20440.0,20795.0,20410.0,20665.0,581800
2019-05-29,20690.0,20790.0,20520.0,20575.0,440988
2019-05-30,20580.0,20810.0,20565.0,20725.0,480240
2019-05-31,20695.0,20860.0,20525.0,20545.0,518942
2019-06-03,20490.0,20680.0,20460.0,20480.0,394498
2019-06-04,20410.0,20515.0,20080.0,20305.0,440330
2019-06-05,20360.0,20395.0,20210.0,20275.0,309850
2019-06-06,20255.0,20750.0,20220.0,20690.0,498918
2019-06-10,20680.0,20825.0,20505.0,20660.0,226970
2019-06-11,20600.0,20885.0,20530.0,20805.0,345032
2019-06-12,20895.0,20910.0,20550.0,20615.0,275966
2019-06-13,20635.0,20775.0,20535.0,20675.0,253394
2019-06-14,20250.0,20325.0,19990.0,20100.0,433782
2019-06-17,20045.0,20105.0,19880.0,19900.0,372282
2019-06-18,19835.0,20135.0,19740.0,19930.0,580188
2019-06-19,19965.0,20245.0,19870.0,19945.0,602076
2019-06-20,19920.0,19985.0,19660.0,19865.0,640388
2019-06-21,19850.0,19915.0,19405.0,19450.0,536660
2019-06-24,19420.0,19645.0,19305.0,19585.0,561526
2019-06-25,19665.0,19950.0,19650.0,19935.0,454482
2019-06-26,20000.0,20180.0,19980.0,20085.0,456608
2019-06-27,20035.0,20120.0,19865.0,19935.0,448434
2019-06-28,19820.0,19980.0,19745.0,19775.0,420782
2019-07-01,19855.0,20095.0,19800.0,19860.0,387086
2019-07-02,19800.0,19810.0,19525.0,19615.0,370022
2019-07-03,19590.0,19775.0,19540.0,19650.0,304414
2019-07-04,19675.0,19745.0,19585.0,19665.0,292344
2019-07-05,19560.0,19580.0,19365.0,19405.0,333046
2019-07-08,19305.0,19520.0,19190.0,19235.0,324488
2019-07-09,19240.0,19310.0,19100.0,19105.0,243700
2019-07-10,19160.0,19210.0,19005.0,19190.0,293228
2019-07-11,19200.0,19290.0,19005.0,19060.0,370550
2019-07-12,19065.0,19195.0,18960.0,19045.0,329278
2019-07-15,19105.0,19320.0,19090.0,19220.0,403958
2019-07-16,19235.0,19380.0,19165.0,19250.0,393282
2019-07-17,19355.0,19550.0,19315.0,19355.0,432814
2019-07-18,19430.0,19645.0,19340.0,19600.0,482064
2019-07-19,19595.0,19660.0,19355.0,19575.0,464808
2019-07-22,19445.0,19490.0,19180.0,19235.0,450336
2019-07-23,19225.0,19350.0,19200.0,19285.0,239356
2019-07-24,19230.0,19395.0,19135.0,19350.0,345908
2019-07-25,19400.0,19415.0,19245.0,19270.0,267556
2019-07-26,19255.0,19345.0,19140.0,19250.0,306304
2019-07-29,19205.0,19545.0,19200.0,19495.0,336458
2019-07-30,19525.0,19785.0,19460.0,19690.0,372886
2019-07-31,19610.0,19660.0,19370.0,19385.0,296448
2019-08-01,19335.0,19460.0,19235.0,19265.0,291798
2019-08-02,19215.0,19290.0,19130.0,19275.0,290288
2019-08-05,19070.0,19375.0,19055.0,19365.0,275774
2019-08-06,19260.0,19310.0,19150.0,19265.0,201964
2019-08-07,19250.0,19250.0,18850.0,18850.0,260408
2019-08-08,18700.0,18850.0,18600.0,18665.0,346052
2019-08-09,18710.0,18835.0,18375.0,18550.0,454244
2019-08-12,18525.0,18725.0,18330.0,18675.0,468330
2019-08-13,18620.0,18760.0,18600.0,18725.0,263958
2019-08-14,18720.0,18940.0,18640.0,18730.0,306438
2019-08-15,18580.0,18690.0,18550.0,18670.0,247582
2019-08-16,18660.0,18760.0,18560.0,18640.0,243060
2019-08-19,18660.0,18760.0,18505.0,18540.0,252850
2019-08-20,18520.0,18730.0,18505.0,18610.0,225730
2019-08-21,18600.0,18605.0,18390.0,18470.0,276880
2019-08-22,18530.0,18725.0,18530.0,18625.0,304996
2019-08-23,18615.0,18670.0,18430.0,18665.0,308856
2019-08-26,18555.0,18645.0,18270.0,18350.0,317976
2019-08-27,18380.0,18750.0,18380.0,18720.0,334748
2019-08-28,18815.0,18915.0,18690.0,18835.0,291254
2019-08-29,18800.0,18860.0,18660.0,18805.0,240902
2019-08-30,18805.0,18840.0,18700.0,18745.0,218144
2019-09-02,18720.0,18900.0,18560.0,18640.0,278626
2019-09-03,18615.0,18805.0,18595.0,18680.0,215974
2019-09-04,18530.0,18790.0,18490.0,18785.0,197462
2019-09-05,18915.0,19175.0,18890.0,19050.0,302796
2019-09-06,19220.0,19260.0,19035.0,19065.0,215024
2019-09-09,19015.0,19125.0,18920.0,19115.0,161994
2019-09-10,19035.0,19120.0,18965.0,19025.0,201216
2019-09-11,18980.0,19305.0,18925.0,19265.0,321794
2019-09-12,19315.0,19375.0,19155.0,19245.0,269304
2019-09-16,19385.0,19395.0,19230.0,19280.0,136818
2019-09-17,19260.0,19295.0,19060.0,19110.0,229230
2019-09-18,19100.0,19210.0,19055.0,19125.0,212026
2019-09-19,19010.0,19090.0,18930.0,18950.0,222636
2019-09-20,18950.0,19045.0,18830.0,18905.0,277128
2019-09-23,18900.0,18930.0,18805.0,18850.0,233316
2019-09-24,18890.0,19045.0,18750.0,18800.0,297268
2019-09-25,18740.0,18790.0,18570.0,18660.0,279660
2019-09-26,18625.0,18720.0,18585.0,18615.0,196878
2019-09-27,18715.0,18795.0,18535.0,18745.0,279792
2019-09-30,18720.0,18820.0,18650.0,18695.0,196208
2019-10-08,18665.0,18795.0,18630.0,18700.0,110820
2019-10-09,18625.0,18765.0,18620.0,18660.0,150526
2019-10-10,18705.0,18900.0,18635.0,18850.0,203768
2019-10-11,19030.0,19040.0,18920.0,18975.0,186184
2019-10-14,19070.0,19165.0,18910.0,18910.0,214648
2019-10-15,18925.0,19070.0,18880.0,19055.0,130668
2019-10-16,19100.0,19110.0,18875.0,18915.0,215434
2019-10-17,18880.0,18960.0,18705.0,18735.0,209680
2019-10-18,18800.0,18890.0,18760.0,18860.0,191078
2019-10-21,19005.0,19080.0,18885.0,18925.0,245332
2019-10-22,18990.0,18990.0,18865.0,18930.0,146270
2019-10-23,18965.0,19065.0,18760.0,18800.0,305352
2019-10-24,18835.0,18900.0,18805.0,18880.0,204012
2019-10-25,18910.0,18990.0,18655.0,18675.0,359174
2019-10-28,18705.0,19165.0,18690.0,19110.0,491602
2019-10-29,19150.0,19225.0,19060.0,19110.0,297592
2019-10-30,19130.0,19170.0,19040.0,19105.0,224102
2019-10-31,19050.0,19065.0,18900.0,18995.0,247672
2019-11-01,18975.0,19010.0,18840.0,18955.0,190954
2019-11-04,18955.0,19095.0,18905.0,19085.0,204644
2019-11-05,19035.0,19095.0,18910.0,18915.0,208490
2019-11-06,18935.0,19160.0,18725.0,18740.0,334390
2019-11-07,18760.0,18765.0,18575.0,18670.0,232724
2019-11-08,18770.0,18795.0,18585.0,18590.0,169980
2019-11-11,18585.0,18690.0,18510.0,18610.0,206068
2019-11-12,18650.0,18825.0,18610.0,18810.0,153770
2019-11-13,18700.0,18735.0,18465.0,18540.0,274934
2019-11-14,18470.0,18520.0,18225.0,18395.0,377152
2019-11-15,18340.0,18430.0,18285.0,18340.0,266892
2019-11-18,18330.0,18415.0,18200.0,18390.0,298250
2019-11-19,18315.0,18345.0,18120.0,18305.0,291740
2019-11-20,18250.0,18400.0,18230.0,18340.0,250432
2019-11-21,18305.0,18365.0,17915.0,18060.0,416814
2019-11-22,18010.0,18160.0,17965.0,17970.0,271662
2019-11-25,17950.0,18120.0,17885.0,18035.0,291952
2019-11-26,18010.0,18080.0,17900.0,17975.0,271232
2019-11-27,17945.0,18090.0,17830.0,18075.0,325082
2019-11-28,18060.0,18105.0,17960.0,18040.0,231864
2019-11-29,17995.0,18070.0,17890.0,18040.0,242744
2019-12-02,17940.0,18015.0,17675.0,17785.0,327998
2019-12-03,17775.0,17870.0,17680.0,17815.0,213260
2019-12-04,17740.0,17850.0,17675.0,17840.0,231794
2019-12-05,17880.0,18060.0,17870.0,18000.0,206902
2019-12-06,17980.0,18075.0,17930.0,18025.0,163814
2019-12-09,18005.0,18150.0,17990.0,18065.0,209344
2019-12-10,17845.0,17950.0,17725.0,17925.0,206304
2019-12-11,17870.0,17940.0,17800.0,17850.0,260950
2019-12-12,17830.0,18095.0,17830.0,18055.0,334872
2019-12-13,18000.0,18155.0,17970.0,18100.0,353514
2019-12-16,18080.0,18225.0,17930.0,18025.0,420606
2019-12-17,18050.0,18150.0,18005.0,18040.0,254410
2019-12-18,18065.0,18105.0,17920.0,17960.0,291142
2019-12-19,18035.0,18070.0,17925.0,18070.0,243630
2019-12-20,18060.0,18195.0,18050.0,18110.0,277212
2019-12-23,18180.0,18235.0,17980.0,18000.0,294122
2019-12-24,17940.0,17985.0,17835.0,17915.0,264056
2019-12-25,17850.0,17960.0,17845.0,17945.0,181750
2019-12-26,17960.0,17980.0,17800.0,17840.0,175820
2019-12-27,17835.0,17960.0,17825.0,17960.0,207328
2019-12-30,17985.0,18115.0,17970.0,18105.0,251604
2019-12-31,18085.0,18100.0,17940.0,17950.0,169332
2020-01-02,17900.0,18000.0,17855.0,17880.0,66720
2020-01-03,17945.0,17985.0,17730.0,17755.0,97431
2020-01-06,17660.0,18190.0,17635.0,18155.0,133342
2020-01-07,18120.0,18215.0,18040.0,18190.0,69309
2020-01-08,18200.0,18475.0,18185.0,18365.0,202813
2020-01-09,18470.0,18555.0,18295.0,18345.0,163030
2020-01-10,18420.0,18435.0,18210.0,18340.0,135686
2020-01-13,18365.0,18365.0,18185.0,18260.0,116604
2020-01-14,18230.0,18345.0,18020.0,18185.0,145623
2020-01-15,18135.0,18245.0,18095.0,18235.0,91546
2020-01-16,18235.0,18350.0,18100.0,18295.0,128251
2020-01-17,18405.0,18465.0,18270.0,18360.0,125913
2020-01-20,18400.0,18480.0,18325.0,18420.0,100328
2020-01-21,18425.0,18490.0,18135.0,18200.0,126442
2020-01-22,18285.0,18375.0,18175.0,18315.0,105364
2020-01-23,18305.0,18320.0,18085.0,18160.0,95825
2020-02-03,17200.0,17475.0,17160.0,17300.0,86382
2020-02-04,16915.0,17380.0,16915.0,17340.0,76784
2020-02-05,17230.0,17350.0,17230.0,17280.0,35942
2020-02-06,17360.0,17400.0,17315.0,17335.0,34973
2020-02-07,17280.0,17365.0,17270.0,17295.0,26869
2020-02-10,17150.0,17185.0,17105.0,17140.0,39976
2020-02-11,17140.0,17170.0,17100.0,17125.0,49676
2020-02-12,17130.0,17175.0,16975.0,17080.0,64839
2020-02-13,17060.0,17180.0,17040.0,17120.0,60208
2020-02-14,17155.0,17235.0,17140.0,17225.0,51441
2020-02-17,17145.0,17265.0,17130.0,17260.0,54414
2020-02-18,17265.0,17270.0,17150.0,17190.0,50498
2020-02-19,17185.0,17195.0,17135.0,17170.0,39600
2020-02-20,17165.0,17210.0,17100.0,17180.0,49874
2020-02-21,17105.0,17145.0,17020.0,17030.0,66787
2020-02-24,16980.0,16995.0,16570.0,16595.0,116257
2020-02-25,16550.0,16650.0,16440.0,16560.0,97481
2020-02-26,16445.0,16520.0,16370.0,16455.0,82395
2020-02-27,16450.0,16540.0,16450.0,16460.0,54921
2020-02-28,16370.0,16370.0,15675.0,15860.0,160326
2020-03-02,15995.0,16225.0,15945.0,16160.0,105498
2020-03-03,16135.0,16245.0,16135.0,16190.0,61313
2020-03-04,15920.0,16025.0,15850.0,15995.0,83401
2020-03-05,15930.0,16105.0,15920.0,16055.0,58922
2020-03-06,16010.0,16090.0,15950.0,16020.0,44327
2020-03-09,15705.0,15730.0,15235.0,15565.0,126944
2020-03-10,15755.0,16115.0,15755.0,16025.0,100907
2020-03-11,16005.0,16160.0,15980.0,16010.0,84848
2020-03-12,15880.0,16015.0,15795.0,15835.0,112778
2020-03-13,15635.0,15940.0,15505.0,15805.0,157305
2020-03-16,15685.0,15865.0,15525.0,15540.0,106194
2020-03-17,15620.0,15750.0,15555.0,15660.0,128362
2020-03-18,15300.0,15530.0,14710.0,14880.0,221171
2020-03-19,15090.0,15090.0,14245.0,14420.0,219507
2020-03-20,14770.0,15125.0,14585.0,15055.0,167071
2020-03-23,14480.0,14745.0,14250.0,14630.0,131705
2020-03-24,14900.0,15015.0,14610.0,14895.0,142300
2020-03-25,14990.0,14995.0,14715.0,14905.0,109587
2020-03-26,14920.0,15150.0,14825.0,14860.0,105968
2020-03-27,15050.0,15390.0,14985.0,15385.0,136692
2020-03-30,15225.0,15230.0,14955.0,15080.0,98912
2020-03-31,15230.0,15240.0,15135.0,15175.0,52482
2020-04-01,15230.0,15350.0,15075.0,15140.0,69478
2020-04-02,15185.0,15520.0,14935.0,15415.0,115904
2020-04-03,15420.0,15565.0,15335.0,15560.0,81492
2020-04-07,15730.0,15950.0,15675.0,15845.0,81025
2020-04-08,15800.0,15810.0,15660.0,15675.0,61827
2020-04-09,15700.0,15790.0,15540.0,15555.0,83375
2020-04-10,15550.0,15735.0,15450.0,15660.0,88662
2020-04-13,15660.0,15805.0,15610.0,15735.0,71387
2020-04-14,15675.0,15980.0,15675.0,15900.0,105593
2020-04-15,15880.0,16000.0,15775.0,15805.0,93428
2020-04-16,15835.0,16035.0,15765.0,15970.0,97514
2020-04-17,16075.0,16195.0,16025.0,16130.0,101583
2020-04-20,16140.0,16240.0,15975.0,16130.0,86910
2020-04-21,16015.0,16040.0,15535.0,15635.0,160807
2020-04-22,15625.0,15885.0,15585.0,15860.0,131017
2020-04-23,15805.0,15915.0,15745.0,15795.0,92140
2020-04-24,15670.0,15900.0,15625.0,15825.0,97129
2020-04-27,15900.0,16235.0,15900.0,16090.0,123092
2020-04-28,16045.0,16160.0,15970.0,16125.0,84091
2020-04-29,16245.0,16415.0,16200.0,16365.0,100159
2020-04-30,16430.0,16480.0,16280.0,16400.0,67414
2020-05-06,16280.0,16610.0,16260.0,16485.0,88801
2020-05-07,16525.0,16785.0,16500.0,16680.0,111694
2020-05-08,16820.0,17050.0,16715.0,16985.0,119227
2020-05-11,16925.0,16950.0,16815.0,16830.0,96132
2020-05-12,16830.0,16985.0,16800.0,16815.0,93094
2020-05-13,16820.0,16885.0,16440.0,16615.0,141760
2020-05-14,16630.0,16635.0,16325.0,16430.0,117686
2020-05-15,16365.0,16515.0,16245.0,16465.0,128303
2020-05-18,16415.0,16735.0,16365.0,16595.0,127459
2020-05-19,16725.0,16965.0,16685.0,16750.0,142090
2020-05-20,16775.0,16880.0,16725.0,16750.0,110277
2020-05-21,16770.0,16780.0,16405.0,16495.0,206047
2020-05-22,16480.0,16545.0,16165.0,16395.0,228291
2020-05-25,16390.0,16515.0,16170.0,16330.0,145398
2020-05-26,16370.0,16470.0,16220.0,16285.0,128951
2020-05-27,16320.0,16450.0,16065.0,16075.0,166125
2020-05-28,16100.0,16260.0,15980.0,16180.0,162745
2020-05-29,16170.0,16475.0,16125.0,16400.0,147140
2020-06-01,16535.0,16665.0,16400.0,16515.0,149261
2020-06-02,16515.0,16680.0,16470.0,16620.0,114049
2020-06-03,16650.0,16795.0,16470.0,16590.0,152341
2020-06-04,16680.0,16710.0,16515.0,16530.0,148878
2020-06-05,16530.0,16710.0,16485.0,16635.0,139698
2020-06-08,16730.0,16805.0,16250.0,16505.0,174681
2020-06-09,16535.0,16725.0,16460.0,16505.0,147242
2020-06-10,16485.0,16560.0,16350.0,16420.0,137795
2020-06-11,16440.0,16875.0,16335.0,16395.0,231248
2020-06-12,16345.0,16505.0,16215.0,16455.0,161591
2020-06-15,16470.0,16515.0,16230.0,16285.0,146400
2020-06-16,16285.0,16580.0,16265.0,16540.0,124363
2020-06-17,16560.0,16765.0,16445.0,16750.0,126886
2020-06-18,16730.0,16835.0,16620.0,16720.0,114341
2020-06-19,16790.0,17050.0,16765.0,16985.0,123155
2020-06-22,17000.0,17015.0,16760.0,16825.0,154948
2020-06-23,16880.0,17055.0,16730.0,16790.0,181741
2020-06-24,16780.0,16835.0,16655.0,16740.0,117745
2020-06-29,16685.0,16765.0,16580.0,16625.0,77684
2020-06-30,16700.0,16900.0,16655.0,16835.0,136916
2020-07-01,16835.0,16885.0,16660.0,16685.0,131139
2020-07-02,16645.0,16815.0,16585.0,16775.0,134025
2020-07-03,16765.0,16780.0,16670.0,16745.0,111490
2020-07-06,16695.0,16820.0,16615.0,16820.0,146818
2020-07-07,16820.0,16855.0,16635.0,16705.0,132933
2020-07-08,16745.0,17115.0,16690.0,17090.0,165774
2020-07-09,17160.0,17650.0,17115.0,17540.0,262947
2020-07-10,17545.0,17755.0,17375.0,17555.0,234133
2020-07-13,17625.0,18195.0,17625.0,18030.0,255161
2020-07-14,18030.0,18455.0,17825.0,17945.0,271805
2020-07-15,17925.0,18020.0,17770.0,17880.0,158227
2020-07-16,17930.0,17975.0,17525.0,17730.0,199162
2020-07-17,17800.0,18000.0,17735.0,17875.0,145052
2020-07-20,17790.0,17860.0,17560.0,17685.0,121009
2020-07-21,17700.0,17990.0,17700.0,17870.0,111634
2020-07-22,17910.0,18330.0,17910.0,18025.0,215689
2020-07-23,17930.0,18070.0,17575.0,18065.0,190598
2020-07-24,17970.0,18300.0,17740.0,17910.0,233853
2020-07-27,17945.0,18220.0,17910.0,18130.0,196825
2020-07-28,18060.0,18530.0,17890.0,17980.0,288019
2020-07-29,18030.0,18720.0,18015.0,18695.0,298620
2020-07-30,18720.0,18925.0,18480.0,18745.0,310667
2020-07-31,18660.0,19130.0,18490.0,19080.0,370443
2020-08-03,18990.0,19095.0,18670.0,18790.0,286823
2020-08-04,18940.0,19010.0,18735.0,18870.0,244083
2020-08-05,18830.0,19070.0,18770.0,18850.0,218620
2020-08-06,19150.0,19550.0,19005.0,19365.0,336228
2020-08-07,19435.0,19570.0,19250.0,19430.0,224357
2020-08-10,19490.0,19655.0,19145.0,19220.0,251515
2020-08-11,19300.0,19455.0,19235.0,19285.0,157753
2020-08-12,19380.0,19620.0,19065.0,19370.0,277243
2020-08-13,19390.0,19490.0,19290.0,19390.0,169662
2020-08-14,19410.0,19525.0,19245.0,19455.0,180983
2020-08-17,19450.0,19855.0,19270.0,19790.0,188834
2020-08-18,19875.0,20060.0,19800.0,19900.0,147244
2020-08-19,20080.0,20180.0,19890.0,20175.0,161660
2020-08-20,20215.0,20430.0,19955.0,20095.0,164215
2020-08-21,20195.0,20220.0,20020.0,20060.0,118979
2020-08-24,19920.0,19940.0,19685.0,19845.0,172513
2020-08-25,19840.0,19890.0,19610.0,19840.0,185047
2020-08-26,19950.0,20030.0,19755.0,19810.0,186074
2020-08-27,19880.0,19930.0,19745.0,19850.0,151027
2020-08-28,19815.0,20105.0,19685.0,20060.0,264798
2020-08-31,20215.0,20245.0,19850.0,19905.0,184119
2020-09-01,19985.0,20460.0,19905.0,20450.0,196425
2020-09-02,20430.0,20440.0,20170.0,20325.0,184751
2020-09-03,20330.0,20365.0,20130.0,20180.0,167915
