,多空收益,多空仓位,纯多收益,纯多仓位,持有收益,仅量价收益
2018-12-03,-0.007104589245636605,0.7099815003377987,-0.00035499075016889934,0.7099815003377987,0.030520646319568856,-0.00898810731702651
2018-12-04,0.008448662491992597,0.15602576453798608,0.008448662491992597,0.15602576453798608,0.012195121951219523,0.008448662491992597
2018-12-05,-0.001480567613050629,-0.21758407049081485,-0.0013717755778052216,0.0,-0.008605851979345935,-0.001510926717306328
2018-12-06,0.003390134357739437,-0.754893345272575,0.0002127474397779494,0.0,-0.015625,0.004382133113394428
2018-12-07,0.002000476509298756,-0.9776492756785788,0.00044474093840340956,0.0,-0.0017636684303351524,0.002000476509298756
2018-12-10,0.01033051214815978,-0.9111270911804993,0.0,0.0,-0.010600706713780772,0.01033051214815978
2018-12-11,-0.008152859429061106,-0.8755348612810272,0.0,0.0,0.008928571428571175,-0.008152859429061106
2018-12-12,-1.4802026868062806e-05,-0.9776492756785788,1.9330581947141212e-05,0.0,0.0,-1.4802026868062806e-05
2018-12-13,-0.010452101603738283,-0.8376784719947828,0.0,0.0,0.010619469026548645,-0.010472206444139041
2018-12-14,0.022116697519532515,-0.27830227900221255,0.00021267134543645483,0.0,-0.02626970227670733,0.021071954569720403
2018-12-17,0.0016745949317793169,-0.27830227900221255,0.00013530753469659373,0.0,-0.0053956834532373765,0.0016745949317793169
2018-12-18,0.001491583991227355,-0.7099815003377987,0.00015461626176538346,0.0,-0.005424954792043413,0.0014691280687599668
2018-12-19,0.009012533470527882,-0.6627920691587282,0.0,0.0,-0.012727272727272698,0.009561682847230373
2018-12-20,-0.0024872737288809624,-0.754893345272575,0.0,0.0,0.0036832412523020164,-0.0024872737288809624
2018-12-21,0.005981391247239984,-0.754893345272575,0.00025123443071239926,0.0,-0.007339449541284404,0.005958935324772595
2018-12-24,-0.005474509164804909,-0.561935209500679,0.0001159252282276757,0.0,0.007393715341959428,-0.005125194261281752
2018-12-25,0.005983487950920624,-0.15602576453798608,0.0,0.0,-0.011009174311926606,0.005983487950920624
2018-12-26,0.00022833440424838548,-0.27830227900221255,0.0,0.0,-0.0018552875695733162,0.00019850702255097953
2018-12-27,0.004897508628168059,-0.33795704239702445,0.00021256449399964517,0.0,-0.016728624535315983,0.0059379586330360725
2018-12-28,0.0009340689022754923,-0.7974687911932674,0.0008698521251389035,0.0,0.0,0.0009553566252358386
2019-01-02,0.0016661454547182188,-0.9111270911804993,0.00011987532965718195,0.0,-0.001890359168241984,0.0015770672165543926
2019-01-03,0.008068368687900168,-0.8376784719947828,0.0006292700467458445,0.0,-0.007575757575757569,0.007752737010017141
2019-01-04,-0.02333174841681394,0.8755348612810272,0.0003807673920267359,0.8755348612810272,0.028625954198473247,-0.02098831511660916
2019-01-07,0.017901027214060394,0.7974687911932673,0.017901027214060394,0.7974687911932673,0.020408163265306145,0.017901027214060394
2019-01-08,-0.003251690749421511,0.09386031921040802,-0.003251690749421511,0.09386031921040802,-0.0036363636363636598,-0.003251690749421511
2019-01-09,-4.463072604019033e-05,-0.33795704239702445,0.00012434779515832188,0.0,0.0018248175182482562,-1.4803344342784376e-05
2019-01-10,0.0009113270797053844,-0.9776492756785788,0.0,0.0,-0.0036429872495445936,0.0006806302564772624
2019-01-11,-0.008930886385878417,-0.27830227900221255,0.0001796335475630073,0.0,0.009140767824497242,-0.00864993441879581
2019-01-14,0.0016400594592787855,-0.27830227900221255,9.977849174824804e-05,0.0,-0.005434782608695676,0.0012736517201072618
2019-01-15,-0.0032815969363110585,0.27830227900221266,-0.00010922057840264952,0.27830227900221266,0.010928961748633892,-0.0033114243180084645
2019-01-16,0.0005123078612780324,0.15602576453798608,0.0005123078612780324,0.15602576453798608,0.0018018018018017834,0.0006147942023906897
2019-01-17,-0.0021321705865532553,0.5084988673712059,-0.0021321705865532553,0.5084988673712059,-0.01258992805755399,-0.002903738326499618
2019-01-18,0.004222845854532827,-0.39633697601347395,0.004421014342539564,0.0,0.00910746812386165,0.004707189963858378
2019-01-21,-0.002065967923160871,-0.27830227900221255,9.974564859605017e-05,0.0,0.005415162454873723,-0.0017264642760583956
2019-01-22,0.0031024719786443495,-0.15602576453798608,0.00012965641051199128,0.0,-0.010771992818671472,0.0031024719786443495
2019-01-23,-0.0002148321987664565,-0.9776492756785788,0.00016952871018593996,0.0,0.0,-0.0002148321987664565
2019-01-24,-0.007038117447614157,-0.9776492756785788,2.9911760306866597e-05,0.0,0.007259528130671544,-0.007038117447614157
2019-01-25,0.005625966531379754,-0.9111270911804993,0.00018943548226291185,0.0,-0.005405405405405461,0.005625966531379754
2019-01-28,0.008023530396910573,-0.33795704239702445,2.9905200514379615e-05,0.0,-0.009057971014492794,0.007932564757981054
2019-01-29,0.006371818262470362,-0.031327727361609055,0.00025917065390745897,0.0,-0.018281535648994485,0.003089649511303804
2019-01-30,0.00011173741710193615,0.5619352095006791,-0.00028096760475033956,0.5619352095006791,-0.013035381750465591,8.60009028859537e-05
2019-01-31,-0.008425808789942708,0.5084988673712059,-0.008425808789942708,0.5084988673712059,-0.015094339622641506,-0.009211525242149899
2019-02-01,0.014852511881315356,0.9776492756785788,0.014852511881315356,0.9776492756785788,0.028735632183908066,0.016363109288932243
2019-02-11,0.029112762816906293,0.9447450738962128,0.029112762816906293,0.9447450738962128,0.029795158286778367,0.029112762816906293
2019-02-12,0.011926943776610096,0.8755348612810272,0.011926943776610096,0.8755348612810272,0.012658227848101333,0.011926943776610096
2019-02-13,0.015604191501744654,0.7974687911932673,0.015604191501744654,0.7974687911932673,0.01785714285714257,0.015624296342145412
2019-02-14,0.0027990252494262315,0.7548933452725749,0.0027990252494262315,0.7548933452725749,0.0035087719298245723,0.002915604108721072
2019-02-15,-0.0027042511679226102,0.5619352095006791,-0.0027042511679226102,0.5619352095006791,-0.0034965034965035446,-0.002730969338987347
2019-02-18,0.02150266852348217,0.9776492756785788,0.02150266852348217,0.9776492756785788,0.038596491228070295,0.019416154042880045
2019-02-19,0.004925491150398594,0.9111270911804993,0.004925491150398594,0.9111270911804993,0.0050675675675675436,0.004925491150398594
2019-02-20,-0.0016483995789189781,0.6627920691587285,-0.0016483995789189781,0.6627920691587285,-0.001680672268907557,-0.0016483995789189781
2019-02-21,-0.0011461111816030434,0.5619352095006791,-0.0011461111816030434,0.5619352095006791,-0.0016835016835017313,-0.0011461111816030434
2019-02-22,0.0121574622449015,0.9111270911804993,0.0121574622449015,0.9111270911804993,0.021922428330522825,0.0121574622449015
2019-02-25,0.052589590708604854,0.9776492756785788,0.052589590708604854,0.9776492756785788,0.05775577557755773,0.052589590708604854
2019-02-26,-0.001555786492380314,0.9111270911804993,-0.001555786492380314,0.9111270911804993,-0.0015600624024960652,-0.001555786492380314
2019-02-27,-0.007155628028201468,0.7548933452725749,-0.007155628028201468,0.7548933452725749,-0.0078125,-0.007134340305241122
2019-02-28,0.0034895671502958745,0.3379570423970245,0.0034895671502958745,0.3379570423970245,0.0047244094488188,0.0036465623753942668
2019-03-01,0.0029417719438527105,0.39633697601347395,0.0029417719438527105,0.39633697601347395,0.00783699059561127,0.0029133180588553193
2019-03-04,0.008496193393067541,0.6627920691587285,0.008496193393067541,0.6627920691587285,0.021772939346811793,0.00976369670252365
2019-03-05,0.022069783054426063,0.9111270911804993,0.022069783054426063,0.9111270911804993,0.03348554033485551,0.022069783054426063
2019-03-06,0.020102751167078065,0.837678471994783,0.020102751167078065,0.837678471994783,0.022091310751104487,0.020102751167078065
2019-03-07,0.016736847170516028,0.45324474600825654,0.016736847170516028,0.45324474600825654,0.020172910662824117,0.0167644742311975
2019-03-08,-0.01617901767862573,0.9111270911804993,-0.01617901767862573,0.9111270911804993,-0.035310734463276705,-0.018107944554327432
