库,f,w,S,表达式,sign,w归,贡献
h5,1042,0.09652305349376954,0.3500000000000001,"ts_corr(ts_argmin(close,5),open,60)",1.0,0.0020232151252559463,0.0007081252938395813
h5,1081,0.1476692487977035,0.44999999999999996,"ts_std(slog(slog(sign(ts_mean(returns,3)))),20)",-1.0,0.003095288088062633,0.0013928796396281847
h5,1084,0.2088653480080262,0.44999999999999996,"ts_std(abs(mul(returns,ts_std(ts_er(close,10),60))),10)",1.0,0.004378016607804089,0.00197010747351184
h5,1087,0.28037387212534687,0.4,"neg(ts_std(ssqrt(slog(amount)),20))",-1.0,0.005876903374665766,0.0023507613498663063
h5,1120,0.11295190941617318,-0.9,"ts_std(abs(div(delta(ts_std(returns,5),10),ts_mean(ts_min(op",1.0,0.002367579591460938,-0.002130821632314844
h5,1124,0.16517742913828937,0.0,"ts_std(abs(div(delta(returns,244),ts_mean(open,244))),5)",1.0,0.00346227622197065,0.0
h5,1160,0.04105775551034517,-0.050000000000000044,"div(abs(ssqrt(delta(beta120,20))),div(ts_max(sub(high,low),5",-1.0,0.0008606096569764343,-4.303048284882176e-05
h5,1163,0.012926203461630627,-0.4,"div(sub(ts_max(sub(high,entropy120),5),close),close)",1.0,0.000270945534865357,-0.00010837821394614281
h5,1164,0.006871918100528331,0.75,"add(ts_max(delta(open,120),120),low)",-1.0,0.00014404194787938902,0.00010803146090954176
h5,1198,0.2135070591217138,0.9,"neg(div(div(ts_std(low,40),low),low))",-1.0,0.004475311293294821,0.004027780163965339
h5,1222,0.12201620346534871,0.44999999999999996,"add(add(low,entropy120),delay(low,244))",-1.0,0.0025575758271399423,0.001150909122212974
h5,1223,0.020749611823481586,-0.95,"ts_std(ts_er(open,10),20)",1.0,0.00043493162477674195,-0.00041318504353790483
h5,1255,0.1534076854332095,-0.95,"ts_std(ts_decay_linear(close,10),3)",1.0,0.003215571184960599,-0.0030547926257125687
h5,1256,0.18562956712370102,-0.050000000000000044,"div(ts_std(ema(close,10),5),ts_sum(sub(volume,amount),20))",-1.0,0.0038909725118013226,-0.0001945486255900663
h5,1257,0.1203810469745856,-0.8,"ts_std(ema(mul(high,ts_min(returns,120)),5),5)",1.0,0.00252330138984724,-0.002018641111877792
h5,1258,0.07367227181920499,-0.050000000000000044,"div(ts_std(ema(close,10),5),ema(mul(low,ts_argmin(ts_min(ent",1.0,0.0015442409793449425,-7.721204896724719e-05
h5,1259,0.20180128130101557,-0.25,"ts_std(ema(open,10),5)",1.0,0.004229947042139515,-0.0010574867605348788
h5,1260,0.1608072827177037,-0.09999999999999998,"ts_std(abs(returns),5)",1.0,0.0033706737910728043,-0.0003370673791072804
