,p六库,恐慌,仓位,收益,标的开→开,货基,库数
2015-04-27,-0.7644067585707767,0,0.0,2.9555194325459055e-05,,2.9555194325459055e-05,4
2015-04-28,-0.43248395997589156,0,0.0,7.881152224453736e-05,,7.881152224453736e-05,4
2015-04-29,-0.41629205073586184,0,0.0,8.865597541274362e-05,,8.865597541274362e-05,4
2015-04-30,-0.8835509760509578,0,0.0,8.864811622744107e-05,,8.864811622744107e-05,4
2015-05-04,-0.8061924609038552,0,0.0,0.0,,0.0,4
2015-05-05,-0.4765108667627538,0,0.0,1.970346288349134e-05,,1.970346288349134e-05,4
2015-05-06,-0.5236374041802889,0,0.0,0.000581240702611785,,0.000581240702611785,4
2015-05-07,-0.4851398606611599,0,0.0,0.0,,0.0,4
2015-05-08,0.32629050412540983,0,0.0,0.0009158952137087173,,0.0009158952137087173,4
2015-05-11,0.8978502123571649,0,0.0,0.0003050190390916363,,0.0003050190390916363,4
2015-05-12,0.8092989992489565,0,0.0,5.901794145435346e-05,,5.901794145435346e-05,4
2015-05-13,0.2088445214608224,0,0.0,0.0,,0.0,4
2015-05-14,-0.060403156598010065,0,0.0,9.83854940428408e-05,,9.83854940428408e-05,4
2015-05-15,-0.4182837548626417,0,0.0,0.0001180509783476058,,0.0001180509783476058,4
2015-05-18,0.19015046182692344,0,0.0,0.0,,0.0,4
2015-05-19,0.2674788758960256,0,0.0,0.00014756081965106027,,0.00014756081965106027,4
2015-05-20,0.6720848895950665,0,0.0,0.0,,0.0,4
2015-05-21,0.7872276681102708,0,0.0,0.0005213661761234167,,0.0005213661761234167,4
2015-05-22,0.3090175874189896,0,0.0,0.0006292461827368534,,0.0006292461827368534,4
2015-05-25,0.2990137228103702,0,0.0,0.0,,0.0,4
2015-05-26,0.5278966212758172,0,0.0,0.0,,0.0,4
2015-05-27,0.2740477972318436,0,0.0,9.826368076115699e-06,,9.826368076115699e-06,4
2015-05-28,0.5769887155101322,0,0.0,3.930508607830063e-05,,3.930508607830063e-05,4
2015-05-29,-0.10595471810607032,0,0.0,0.0,,0.0,4
2015-06-01,0.12659870894084674,0,0.0,9.826271519575158e-06,,9.826271519575158e-06,4
2015-06-02,0.23118531916124815,0,0.0,0.0,,0.0,4
2015-06-03,-0.442692091110779,0,0.0,0.0005306551625867684,,0.0005306551625867684,4
2015-06-04,-0.42537877994412127,0,0.0,0.0010116387565681784,,0.0010116387565681784,4
2015-06-05,-0.29184495376034236,0,0.0,0.00032378971329882766,,0.00032378971329882766,4
2015-06-08,-0.34676824346726565,0,0.0,0.0,,0.0,4
2015-06-09,-0.7470138294407865,0,0.0,0.0,,0.0,4
2015-06-10,-0.46900448022450886,0,0.0,0.0,,0.0,4
2015-06-11,-0.7986105946078799,0,0.0,9.812676014853139e-06,,9.812676014853139e-06,4
2015-06-12,-0.6901665544493927,0,0.0,0.0,,0.0,4
2015-06-15,0.0036830171170100603,0,0.0,0.00015702130582839757,,0.00015702130582839757,4
2015-06-16,0.20196143305464864,0,0.0,0.00018643352663549884,,0.00018643352663549884,4
2015-06-17,-0.11265234746567475,0,0.0,0.00030412431817294916,,0.00030412431817294916,4
2015-06-18,-0.228877748892352,0,0.0,2.942243755077456e-05,,2.942243755077456e-05,4
2015-06-19,0.17180339711194492,0,0.0,0.00037267324402256996,,0.00037267324402256996,4
2015-06-23,-0.7210875367707464,0,0.0,0.00015685659385900053,,0.00015685659385900053,4
2015-06-24,-0.4493854273782876,0,0.0,0.0004900999803958417,,0.0004900999803958417,4
2015-06-25,-0.13992912878071448,0,0.0,0.0,,0.0,4
2015-06-26,-0.2918449537603424,1,0.0,3.918917594969429e-05,,3.918917594969429e-05,4
2015-06-29,-0.20446941264421462,1,0.0,0.0,,0.0,4
2015-06-30,-0.10373549359485956,1,0.0,0.0,,0.0,4
2015-07-01,-0.19985293156345993,1,0.0,0.0002155636990730514,,0.0002155636990730514,4
2015-07-02,-0.10228822067017776,1,0.0,5.8777429467138376e-05,,5.8777429467138376e-05,4
2015-07-03,-0.4092473475126977,1,0.0,0.00017632192465177887,,0.00017632192465177887,4
2015-07-06,-0.35435357430978265,1,0.0,0.0006757815560605174,,0.0006757815560605174,4
2015-07-07,-0.3631801766041227,1,0.0,0.0008025603633055045,,0.0008025603633055045,4
2015-07-08,-0.6488153682358782,0,0.0,0.0,,0.0,4
2015-07-09,-0.36264169163602916,0,0.0,0.00011743636417005376,,0.00011743636417005376,4
2015-07-10,-0.6833229331267265,0,0.0,0.00015656343265346706,,0.00015656343265346706,4
2015-07-13,-0.6364549500679911,1,0.0,8.805314496473926e-05,,8.805314496473926e-05,4
2015-07-14,-0.3792528475861112,1,0.0,9.7828213657003e-05,,9.7828213657003e-05,4
2015-07-15,-0.28316971004756564,1,0.0,0.000136946101926938,,0.000136946101926938,4
2015-07-16,-0.47102009474014805,1,0.0,0.000156488400297361,,0.000156488400297361,4
2015-07-17,-0.5050591301606102,1,0.0,0.00035204380989628525,,0.00035204380989628525,4
2015-07-20,-0.5279007876286431,1,0.0,0.0,,0.0,4
2015-07-21,-0.7839715633132108,1,0.0,3.910221318514928e-05,,3.910221318514928e-05,4
2015-07-22,-0.6466907232885692,1,0.0,0.0,,0.0,4
2015-07-23,-0.6581486299108632,1,0.0,6.842619745861533e-05,,6.842619745861533e-05,4
2015-07-24,-0.7839715633132108,1,0.0,0.00014661753350186935,,0.00014661753350186935,4
2015-07-27,-0.18179025085134945,1,0.0,0.0001759152479428039,,0.0001759152479428039,4
2015-07-28,-0.3820271543062568,1,0.0,7.817080320515757e-05,,7.817080320515757e-05,4
2015-07-29,-0.04058947299285029,1,0.0,2.931175987797019e-05,,2.931175987797019e-05,4
2015-07-30,-0.532435120725904,1,0.0,0.00029310900723977795,,0.00029310900723977795,4
2015-07-31,-0.7730491612539294,1,0.0,0.0001074418104922703,,0.0001074418104922703,4
2015-08-03,-0.49625188890300553,1,0.0,0.00029299163997165145,,0.00029299163997165145,4
