,510300_择时收益,510300_仓位,510500_择时收益,510500_仓位,512100_择时收益,512100_仓位,159915_择时收益,159915_仓位,588000_择时收益,588000_仓位,510880_择时收益,510880_仓位
2017-09-04,-0.0002815969512112665,-0.13297165334444816,0.0007543782785335083,0.01732299609764809,0.0002649846870500211,-0.008707687399034075,0.0005260884989908618,0.15017486783142917,0.0002733814354478614,0.0,0.00011099010012186042,-0.17863849924086833
2017-09-05,-0.0005030778277459984,-0.4727238199555813,5.01778481340542e-05,-0.15677926326113273,0.00012053487690153584,-0.08181316180606635,-0.00010947991500057178,-0.2844576718733041,0.00012689240500174392,0.0,-0.0004486122929016648,-0.4279273079668809
2017-09-06,0.0016017503637591232,-0.4635663614605173,-0.000857079117220596,0.08265718839600852,-0.0006280995950875237,-0.10771084651353992,-0.0026140158223578167,-0.1656914559283054,0.00010735687376772773,0.0,0.0005652833088160041,-0.40339736098639156
2017-09-07,0.0021161533565130807,-0.581646919200393,-0.0006030397325415351,-0.10779235525013747,0.0005757124581239425,-0.14835006327168462,0.0011585600857018559,-0.47499427345131684,0.00010734534950662677,0.0,0.0013831113235918087,-0.19946912583845328
2017-09-08,0.0008416399707234702,-0.5890308813415401,-0.00019348227285201196,-0.06209880607418736,-0.0001673223920626574,-0.18149308426170951,0.0023965547280811214,-0.05760308605656389,0.00015612193122827023,0.0,3.559738541076975e-05,-0.23798990902932546
2017-09-11,-0.0008724278573536884,-0.29197823969199027,-0.0007598733300109872,0.19960427361293628,-0.002156410273310269,-0.023603899067190764,-0.0004876787666991297,0.13618747309643703,0.0001170731707316186,0.0,-0.00023087181698124942,-0.11785781278223575
2017-09-12,-0.0005378531104108139,-0.26373063844822175,-0.0004664418650055336,-0.10292610652988071,0.0002112628823679814,-0.06407158553545328,-0.0011400930149951189,-0.3370856400372627,0.00017558919931337513,0.0,-0.00018185060403833164,0.16994660138391027
2017-09-13,-0.0002908324069828595,-0.6615145036444913,-0.0006693264442190841,0.04562271350512509,-4.7980448991290265e-05,-0.06520581698622338,-0.0008648032637069169,0.12325014960410093,8.777918657942863e-05,0.0,-0.0001862706148325121,-0.2359560632324346
2017-09-14,0.0023496168393085555,-0.2734845103412277,-2.3163660541779594e-05,-0.19717519038817377,0.00048489462706785905,-0.10370598218472551,-0.0005686978708036271,-0.0015302223578555346,0.00020480012483048426,0.0,0.0015922755373212142,-0.10525847303774902
2017-09-15,-0.0005035681568433937,-0.6356383380252904,0.0015711615781015286,-0.12099456416855836,0.0001502562694971952,-0.20380573734620921,5.291304595275669e-05,0.05745173000922125,7.800312012462562e-05,0.0,0.00035185217180571467,-0.20427160601960925
2017-09-18,-0.002421761259856714,-0.27204297914125053,-0.0010763389284122952,0.02441241134219435,-0.0014850087821801452,-0.07447881025020843,0.0008136584461387174,0.34554320425633395,0.00012674518368327448,0.0,-0.0007668578606126668,-0.13741067785667097
2017-09-19,0.0017289451264665557,-0.20241074664088854,-0.0002859717407390628,-0.16921550425442208,0.00024439145171541036,-0.11651365752192727,-0.0035885371806676485,0.02323427274521881,1.9496787904138557e-05,0.0,0.00020623622514094278,0.042285237260509534
2017-09-20,-0.000792577711559632,-0.5688233393376733,-0.0015658966081868808,0.10787118303832108,-0.0006075740891332873,-0.15061582117517797,0.0003638154855233023,0.1143800378362008,0.0002729497090161459,0.0,0.00045194319214746906,-0.0270862515883721
2017-09-21,0.000599423530152144,-0.5768964711427871,-0.000939827551449206,-0.11376750443237021,0.002307404208362701,-0.05698381429417412,-0.0010560163529468058,-0.17609012069829927,0.0004775316486536063,0.0,0.0002936463152773402,-0.259284768461906
2017-09-22,0.002104378180278666,-0.42958460546274924,0.0012237828363975258,-0.08168877837729552,0.00047243412637494283,-0.10473186329214731,0.000978825095688967,0.07608220088344872,0.0003506721215664754,0.0,8.10928160501776e-06,-0.07711746427532906
2017-09-25,0.0016948073863929318,-0.5701977152675511,0.0009673676611464965,-0.03150729890788012,0.0015685370659010724,-0.20798057367799616,-0.0010711238072692029,0.2443979256087606,0.0,0.0,3.180995857683738e-05,0.011819422280811277
2017-09-26,-0.0002143698199071952,-0.6554687092304073,-0.00010462865015119997,0.06169434450613773,-0.00024052787620567852,-0.005545581550518222,-0.000501030501900973,0.24184714525112871,7.790968319953961e-05,0.0,-0.00013887650303716798,-0.388704859840716
2017-09-27,-0.0005252438560695756,-0.6185924031179468,0.00048470051442273154,0.20746805600484894,-0.0001697888750216217,0.2345598536852231,0.0015177871489019297,0.2536022836012286,0.0,0.0,-0.0005843703575113784,-0.5298054959720048
2017-09-28,-0.0009619034182627653,-0.6307049729901396,-0.0001310464017666524,-0.17451382929957138,-0.001377694718925727,0.08539101233623897,0.00042384034574511145,-0.05342292633700531,0.0,0.0,0.0006701344505517188,-0.47124800507010894
2017-09-29,-0.00026622478010324027,-0.31144182125427733,0.00032402146060132473,-0.056258995531158415,0.001961194106878887,0.125743395281589,0.0006728917160876913,0.034168950699571383,0.0012275078667665085,0.0,2.8511540619661666e-05,-0.030993736099163994
2017-10-09,-0.003406219782651236,0.41547060899754423,-0.0004926026651487108,0.11981055299153319,0.0017629302352180217,0.24444348681744263,0.0002793332674349164,-0.5133237330565628,0.0001751432769305783,0.0,-0.0002153249628655264,0.3116148513551974
2017-10-10,0.0006753561549241951,0.2575647768482633,0.0007063163005669702,0.175174519435374,0.0024228781834264323,0.2564755520444188,-0.0075344586814057425,-0.23669111273923704,0.0003891391269665867,0.0,-0.0007044325015733076,-0.002581006594416957
2017-10-11,0.0010429812746515896,0.06867013769896366,-0.0008084458865347736,0.1401588080195938,-0.000977401058211598,0.20409688809466686,0.002070779344547437,-0.249761517191509,0.00021394326613566328,0.0,0.0001151228857551883,0.1758545720407719
2017-10-12,0.0002528613402715686,-0.35884145325331446,-0.00014492814893198237,0.051511114039911515,-0.0006132407421050158,0.014628238527249936,0.0006184876359720652,-0.19888767524095255,0.00018472966272264912,0.0,0.0002188181652309716,-0.3801726426957807
2017-10-13,-0.00032662024166488744,-0.4413005695923898,0.0006837086277393506,0.10092530335391287,0.00032772560529237336,-0.05782311371667568,-0.0030296166284035234,0.25984367217634596,0.00032078699743376404,0.0,0.0002547299819860878,-0.5083646272629985
2017-10-16,0.001484502575094256,-0.03178398134701772,-0.0014297088880022447,0.22089050769463076,0.001232128900106497,-0.061801063920872985,-0.006209439530206829,0.3952690266442482,9.717700792011286e-05,0.0,0.0005585632333253263,-0.007174052549320801
2017-10-17,0.00013999669606638067,-0.34521576840658474,-0.0002510458068388455,-0.007228176505173156,0.00022068703701641552,0.07459155863607538,-0.002128061797229707,0.21174764757103764,0.000272069183306467,0.0,4.8261318376593336e-05,-0.4774185560219446
