,hs300,zz500,zz1000,cyb,kc50,hongli
2013-03-28,0.0011724174184274212,-0.1439553889375873,-0.17996416943649543,-0.13098263000357702,,-0.003414189499568163
2013-03-29,-0.027270021950811543,-0.02177332196561532,-0.009448222522182343,-0.03457482749013841,,-0.022796872207341175
2013-04-01,-0.022185251281971935,0.005024173023882654,0.030343913621937633,0.05624810184130631,,-0.02058484263693488
2013-04-02,-0.019354742908009634,-0.05780350594668279,-0.09160551999573066,-0.19073060086111732,,-0.02144436499490317
2013-04-03,-0.021998539421311043,-0.04806835198174724,-0.059467627125078006,-0.06885180656647277,,-0.026391127715392065
2013-04-08,-0.0168624740109225,-0.004200171596507518,0.024886119102570145,0.10221925726037775,,-0.01667284454642465
2013-04-09,-0.035101183153872194,0.014937788793907041,0.035179286215245985,0.04239971130165398,,-0.0312929774913102
2013-04-10,-0.02170704872726417,-0.02543178793072545,-0.03335172148428937,-0.07673574807539377,,-0.020580631755144678
2013-04-11,-0.019736133683593865,-0.0327833458833243,-0.02523361860789503,-0.025516267623896697,,-0.02359783057878232
2013-04-12,-0.014409101817880488,-0.04799617560883997,-0.05071274083995266,-0.016099811621915726,,-0.017812869870838684
2013-04-15,-0.008105500359711481,-0.06730978608279248,-0.07587025506373898,-0.07361039628898247,,-0.015611009922896652
2013-04-16,-0.0401542804322073,0.019016951901639715,0.03744352911294568,0.05342229933530491,,-0.02784849098111756
2013-04-17,-0.024351324300555335,0.011617381880054662,0.043345948253438404,0.12464663763745967,,-0.01678769924644784
2013-04-18,-0.029580708785866223,-0.007869766166290018,0.005795045040287244,0.02786876112695057,,-0.0317357383671762
2013-04-19,-0.06968742075839851,0.053577874560492636,0.08314712313840711,0.10440956253280609,,-0.06454646988129152
2013-04-22,-0.022769665956425787,-0.0022412876190898386,0.04192780212769897,0.12950028592781215,,-0.027473080280005474
2013-04-23,0.02641934442081971,-0.10535333204053705,-0.1466077838152277,-0.13119388870488793,,0.008041440773826071
2013-04-24,-0.0532611017642895,0.04630359833108575,0.10077927868384506,0.15196431501359958,,-0.04466915096162802
2013-04-25,-0.006529871355859074,-0.06514688844851593,-0.0993651945265929,-0.11029152090931336,,-0.014140268082244306
2013-04-26,-0.01093920353658852,-0.07503740801683036,-0.10435550102104539,-0.08416455863829898,,-0.015407486922650756
2013-05-02,-0.02583094460284184,-0.002227151478059384,0.042275602071590986,0.1211887037643055,,-0.028180012370170496
2013-05-03,-0.05219494323621382,0.04398861458606196,0.09395330535360205,0.12305467520599968,,-0.04419832480443392
2013-05-06,-0.04524444155198641,0.04298233131805087,0.08012217042502694,0.08637387075396395,,-0.03696196064479206
2013-05-07,-0.026911568268530556,-0.010662262084863388,0.004899760083950177,-0.010851217508482568,,-0.024676094245966444
2013-05-08,-0.03276925246833444,0.012447819977690225,0.05043141898876224,0.10454334140442295,,-0.028505470098200415
2013-05-09,-0.015181673580605848,-0.015781066829256916,0.008701588233720362,0.051424646791513644,,-0.01978271459722595
2013-05-10,-0.033345369036682435,0.0024198468805348558,0.013578859356935723,-0.027226286599895788,,-0.032959688827247806
2013-05-13,-0.018584710095631733,-0.0053553279919658255,0.02040940537783656,0.026073053160028385,,-0.02336904197974584
2013-05-14,-0.0007728938470974869,-0.0571975531738831,-0.06816969937104395,-0.10209066486949031,,-0.015096146164315908
2013-05-15,-0.03422660195035114,0.027391496470386394,0.06955690631948909,0.16705236305062787,,-0.033536919044201176
2013-05-16,-0.05496114598495673,0.018283605851992474,0.019306611336616344,-0.022715424596469535,,-0.04461938539208456
2013-05-17,-0.050098578704937675,0.03346552695705489,0.05499658181899381,0.05837076542290396,,-0.041549527710556866
2013-05-20,-0.036185998310454145,0.024258203935551233,0.07809354791057917,0.12339539793158426,,-0.03785397731682272
2013-05-21,-0.028573555649954875,0.02637083749723103,0.0643385635066611,0.09156007110376585,,-0.02430567891187909
2013-05-22,-0.02746221133135576,-0.04593319191394723,-0.07654786163787497,-0.15301901883628624,,-0.028695545001015777
2013-05-23,-0.003033934609293422,-0.04697332530280223,-0.03618366592976989,0.006170287156159591,,-0.005983886189974731
2013-05-24,-0.03490216791507915,0.034361650629919256,0.0745837806297901,0.12899191397195348,,-0.032315355374057594
2013-05-27,-0.027287127751434506,0.016291406363457227,0.04785655052058613,0.061661053839277495,,-0.028984478543737625
2013-05-28,-0.054419583576042985,-0.011739309432356326,-0.04589760772429836,-0.13692309564075625,,-0.050051932343691465
2013-05-29,-0.024602573269129967,0.007338542416697518,0.029079202336366974,0.02291644183675835,,-0.024657462673873767
