,多空收益,多空仓位,纯多收益,纯多仓位,持有收益,仅量价收益
2017-11-17,-0.013580498792009654,0.9776492756785788,-0.013580498792009654,0.9776492756785788,-0.06164383561643838,-0.024558628395547486
2017-11-20,0.03211386635621535,0.9776492756785788,0.03211386635621535,0.9776492756785788,0.03284671532846728,0.03211386635621535
2017-11-21,-0.0011649518542489843,0.9447450738962128,-0.0011649518542489843,0.9447450738962128,-0.0011778563015312216,-0.0011649518542489843
2017-11-22,-3.1394601614542964e-05,0.8755348612810275,-3.1394601614542964e-05,0.8755348612810275,0.0,-3.1394601614542964e-05
2017-11-23,-0.01858894050047505,0.9447450738962128,-0.01858894050047505,0.9447450738962128,-0.021226415094339646,-0.01858894050047505
2017-11-24,0.002290402165765074,0.9447450738962128,0.002290402165765074,0.9447450738962128,0.002409638554216942,0.002290402165765074
2017-11-27,-0.011364074117250093,0.9776492756785788,-0.011364074117250093,0.9776492756785788,-0.012019230769230727,-0.011364074117250093
2017-11-28,0.016651393487322322,0.9776492756785788,0.016651393487322322,0.9776492756785788,0.017031630170316392,0.016651393487322322
2017-11-29,0.001119461173717874,0.8755348612810275,0.001119461173717874,0.8755348612810275,0.0011961722488038617,0.001119461173717874
2017-11-30,-0.003130179204612545,0.7974687911932673,-0.003130179204612545,0.7974687911932673,-0.0035842293906810374,-0.003130179204612545
2017-12-01,0.005680418634795583,0.613408237932644,0.005680418634795583,0.613408237932644,0.007194244604316502,0.005680418634795583
2017-12-04,-0.007197791653324305,0.613408237932644,-0.007197791653324305,0.613408237932644,-0.011904761904761862,-0.007197791653324305
2017-12-05,-0.014145501573687038,0.9776492756785788,-0.014145501573687038,0.9776492756785788,-0.02289156626506017,-0.014145501573687038
2017-12-06,0.009644969567086385,0.9776492756785788,0.009644969567086385,0.9776492756785788,0.009864364981504226,0.009644969567086385
2017-12-07,-0.0012224350617154988,0.9111270911804993,-0.0012224350617154988,0.9111270911804993,-0.0012210012210012167,-0.0012224350617154988
2017-12-08,0.0032958783349006844,0.7974687911932673,0.0032958783349006844,0.7974687911932673,0.003667481662591676,0.0032958783349006844
2017-12-11,0.010514566974786406,0.45324474600825654,0.010514566974786406,0.45324474600825654,0.013398294762484886,0.010514566974786406
2017-12-12,-0.005449165708839473,0.5619352095006791,-0.005449165708839473,0.5619352095006791,-0.012019230769230727,-0.005449165708839473
2017-12-13,0.005407757828781933,0.3379570423970245,0.005407757828781933,0.3379570423970245,0.009732360097323589,0.005407757828781933
