,hs300,zz500,zz1000,cyb,kc50,hongli
2025-03-24,1.0117394960259078,1.0385686143707165,1.2433099938641605,1.407560698489883,1.4614738845368913,0.7139784131423113
2025-03-25,0.9694931302631385,0.9907460193046889,1.1983652321683045,1.3377350202870644,1.456785674480267,0.7297435346227117
2025-03-26,0.9363979125632702,0.9449374595821579,1.1413278427029734,1.2759666914450063,1.3648699286550638,0.7108308300785818
2025-03-27,0.9100660420282703,0.9124565655644785,1.0799053367486646,1.2274030766817705,1.3771882955039905,0.6938301916567579
2025-03-28,0.8879872649258875,0.9206930361792064,1.090276116234091,1.2049700768401292,1.3533645127113576,0.7258804103092685
2025-03-31,0.8855605919723806,0.969094410064503,1.0658996377042715,1.216544634954435,1.2966001906250864,0.7292872362547693
2025-04-01,0.8611034017123652,0.933951946873999,1.0383124975128277,1.1768958164967405,1.2348535178862965,0.7429399662319444
2025-04-02,0.8398914156916722,0.9005511382276185,1.0033182967516394,1.139986616436306,1.1786906842726195,0.7247443533495722
2025-04-03,0.8352331199769858,0.9247355052880488,1.0571525945937472,1.265305263109509,1.1426878763731843,0.7004666477531784
2025-04-07,2.1023645492799,3.5124224929033505,4.411788391574897,4.395922313629347,3.8790803934371296,2.365960125538224
2025-04-08,2.030620457730495,3.2094265517491887,3.9943362872223895,4.09813550958814,3.5353007164546293,2.3547945451576378
2025-04-09,1.9317320928778017,3.0203006111942736,3.704374060281797,3.7673973503294236,3.6140445435525,2.1675603469047102
2025-04-10,1.8568522474391842,2.8363790705735457,3.4610862318256914,3.5413803388815444,3.2460495098997897,2.020952841497681
2025-04-11,1.7543914151316793,2.5971909461432503,3.168882715973295,3.2809605766173364,3.022152076551165,1.8687253882767045
2025-04-14,1.6568849233201395,2.390099392718291,2.9110298480570087,3.015251081993555,2.7023964752831593,1.7510691977241046
2025-04-15,1.5655280172652244,2.1896663697691747,2.6416957495436373,2.772878107646242,2.439050358064577,1.6250767638980455
2025-04-16,1.4841291518768687,2.0242888298257085,2.445496045636411,2.583426401564192,2.2261346816451733,1.5108909845810075
2025-04-17,1.4063189144827832,1.8576977730483617,2.224683329637583,2.384746492906417,2.0157588656012098,1.4017334547314695
2025-04-18,1.3348963082662144,1.7095014729467808,2.028424309970094,2.208405699931917,1.8555929732906367,1.3014640602194207
2025-04-21,1.2732154008375833,1.666695366703318,2.0242092437802115,2.1231593570865925,1.761593945591831,1.2119459232130196
2025-04-22,1.212942287659824,1.5429989582435852,1.851202352107439,1.9899080388137604,1.6191580342812812,1.1384705433538107
2025-04-23,1.158273682475155,1.432213079414469,1.7166577660836366,1.8948638043465034,1.4999523947992948,1.0756958604237652
2025-04-24,1.1081155660470654,1.3429809672176412,1.6283514987971455,1.781378071438616,1.436838585940488,1.0255979460217222
2025-04-25,1.0628123275664572,1.262689961704328,1.5113221548564073,1.6827516230546056,1.3473020076694058,0.9656186912005936
2025-04-28,1.0218151101372566,1.1955235541976006,1.4522514734168024,1.5928789819153086,1.2707389580213841,0.9107456454060093
2025-04-29,0.9850447736451499,1.126126938746838,1.3651334656173046,1.500269416588321,1.2100800836788665,0.86664673149423
2025-04-30,0.9513636181721505,1.0803235366477286,1.3136999776772713,1.4521596350807213,1.2195474844709333,0.8526488560358081
2025-05-06,0.9640717900919527,1.2414306276166933,1.5786153317013185,1.5387240893317196,1.3103004372965523,0.8158041380872285
2025-05-07,0.9489620547951315,1.1667220536857925,1.4608660538228313,1.4631624530289782,1.2518451381886815,0.8115892898147881
2025-05-08,0.9328645080721594,1.1110777517657227,1.3924442768986933,1.5033337495000456,1.19762901781079,0.7749261160225946
2025-05-09,0.9048770862737093,1.0960476005672475,1.3755820017710774,1.4511455321820543,1.3772856053469493,0.7630544185056217
2025-05-12,0.9377382649272328,1.138262126540342,1.4033041997360964,1.6617132100616396,1.3180863755376169,0.7414562398673851
2025-05-13,0.9098679308987325,1.0768072837931897,1.3110209508624133,1.5615890683140687,1.2466016993203914,0.7517312640628735
2025-05-14,0.9470093386027065,1.028995200216553,1.2307348347411324,1.5186228041336858,1.2048243412296302,0.7468271438496997
2025-05-15,0.9478847176670364,1.102334832389712,1.3130357046431311,1.5717206986710235,1.2502855001415514,0.7320252617769394
2025-05-16,0.9255971109876954,1.0439841307461666,1.2344338502154415,1.4816996148134274,1.2059499828260472,0.7294996194247131
2025-05-19,0.9008597889622655,0.9943918088401107,1.1776660004012622,1.4051630026751207,1.1555472184715023,0.7093542615074329
2025-05-20,0.889341238429071,0.9675996964558674,1.1623875274255533,1.3669191336646407,1.122311123775954,0.6926705172838252
2025-05-21,0.8760267498886389,0.9311341922221891,1.1030238421888632,1.3357791659408187,1.088946580252435,0.7194797145649537
2025-05-22,0.8531336837251066,0.9541809927493038,1.1187320715882414,1.3130131391744873,1.072703371251431,0.6972960127007771
2025-05-23,0.859840551704749,0.9635373747882396,1.1533966045178683,1.3080733388091466,1.1141713087460547,0.7527513166236443
2025-05-26,0.8521352558841665,0.9322510891092144,1.1288017016338212,1.2734767792855513,1.086774030710374,0.7573211499461207
2025-05-27,0.8436261251019928,0.9028866952819097,1.0780267217667867,1.237279413693998,1.1164058387850597,0.7322454145249236
2025-05-28,0.8243102688261161,0.8764029548857467,1.0368699152093368,1.1922732084727563,1.0841787707657133,0.7141015563805859
2025-05-29,0.8246152396797891,1.0067849688745953,1.2118554078589219,1.252762563792989,1.2647077243829452,0.6923561285519351
2025-05-30,0.816453819066701,1.0060631769577686,1.2072024523692548,1.2449649619731564,1.2544810824752568,0.67174298134763
2025-06-03,0.8052311510253762,0.975135860304118,1.1792429683804233,1.2126087522904394,1.2174397465617024,0.6649388089354971
2025-06-04,0.8004515025002034,0.9781616445844089,1.1677555624076856,1.2343616284147327,1.183923400535806,0.65404967594726
2025-06-05,0.7890737085965759,0.9588466734112328,1.1413629414364133,1.2564242499480207,1.225918658183201,0.6671912575920879
2025-06-06,0.7758525354985637,0.9211357994106961,1.0852124636621163,1.2147035136658264,1.1826734894050603,0.6493090305657945
2025-06-09,0.7690625145109963,0.9327741338029741,1.1216768852214611,1.2350955444174871,1.1709233217543946,0.6374411985504376
2025-06-10,0.769289166924301,0.9414613429726626,1.1185853091298719,1.2490730690807874,1.2619050675779981,0.6243649888618295
2025-06-11,0.7881505749426886,0.9352404661706663,1.0791673996009568,1.281169171512636,1.2009005698484532,0.6217700149345542
2025-06-12,0.7748905985959408,0.9019497049622939,1.0313929035591318,1.2316745886689282,1.1539990773822526,0.6103949971564974
2025-06-13,0.7865277195187294,0.941267752522165,1.1125826651664514,1.239792484692177,1.1262017443294572,0.6915875375457446
2025-06-16,0.7770775640394764,0.9249461182039802,1.0981828356666934,1.2203655890904568,1.0916772119447302,0.6753871433673092
2025-06-17,0.7652114763008122,0.896311138951286,1.0463671780430752,1.1800246285236198,1.1021402696196239,0.6565595419301672
2025-06-18,0.7556734290395057,0.867391175869938,1.0024937591186753,1.145604144373458,1.10156060409412,0.6412367186052383
2025-06-19,0.7774605311178365,0.9395474883742924,1.0952375671674943,1.1960320055995477,1.0873183964091178,0.6643416613921623
2025-06-20,0.7660602543548024,0.9296038046871674,1.0779483728174752,1.1803603552468949,1.0740993337307618,0.649651716484256
2025-06-23,0.7605783901833943,0.9260075141143819,1.1562427359541285,1.152628014805952,1.0666377406942746,0.6400819688403799
2025-06-24,0.8234883641336401,1.0693298466787644,1.3198591401366695,1.3778190531681525,1.2925079156608965,0.6353280814855545
2025-06-25,0.9032145969247308,1.1832278518339059,1.3338249078337745,1.6874889545224008,1.4253488158141516,0.6324581094011763
2025-06-26,0.8816620445470932,1.1227188678292828,1.2582641079321273,1.600950625442784,1.35033796228105,0.6195750544810825
2025-06-27,0.8733218042448666,1.0751289221537308,1.199979618087564,1.5193817447846572,1.2731752187503222,0.6338410419367253
2025-06-30,0.8574609616760467,1.0714210430180067,1.236753520180569,1.513512792286252,1.3794472859003708,0.6216368660791399
2025-07-01,0.9208619456370198,1.0827130805649525,1.2532940741229075,1.4069093864089892,1.398514308958506,0.8070133417756891
2025-07-02,0.9036190173631383,1.081959999518337,1.2829274840483476,1.4148602731541773,1.4050545721960788,0.8289178463419069
2025-07-03,0.9149767301194242,1.0630532742611205,1.2459024728506478,1.6083423872991311,1.344091888285203,0.7999982069906965
2025-07-04,0.9077826853993971,1.033194173241613,1.2173251808828656,1.4569815874283736,1.291783113359964,0.8015751473693922
2025-07-07,0.9046120724719732,1.0150487242601198,1.187444392175092,1.4555167010427772,1.2725780036052081,0.7980202956648186
2025-07-08,0.9332943260406696,1.1399978204466537,1.2955210372380117,1.7657804890615285,1.3615600913653831,0.7780410954110214
2025-07-09,0.9130048303473783,1.090757204009526,1.2338275354631973,1.542870026161423,1.3446632235413671,0.7736530450733973
2025-07-10,0.9113382205966448,1.0674856717889687,1.1969702157945457,1.4070245296780584,1.2954091725766563,0.7951023464674003
2025-07-11,0.8984049302355724,1.0767531261594752,1.2298784826166622,1.372581604477058,1.3896809742681493,0.8149204259854808
2025-07-14,0.8893180775264896,1.0393940899031302,1.1884298565549152,1.3186280157142718,1.3280171506232243,0.8094784475135699
2025-07-15,0.8831420587220811,1.0160304411309462,1.172326882496679,1.5092882551588884,1.2915682595465299,0.8834357749938373
2025-07-16,0.8836539330383406,1.0020704880532305,1.1651884130305459,1.38825693582512,1.2540314254753346,0.853148930091909
2025-07-17,0.906764546899785,1.0911373262908843,1.2587084131625894,1.5474354876595895,1.2685620084430578,0.8177097993317599
2025-07-18,0.9160371851174669,1.0534322410638344,1.2084878198343036,1.4116975187176268,1.2378023962089286,0.8023574809571044
2025-07-21,0.9269779310637808,1.1068320886664857,1.2455481872018899,1.3831656048521137,1.211601739680999,0.9045195208474672
2025-07-22,0.9464991453513961,1.1126377511380574,1.207213788860312,1.33450939025533,1.2408303543868124,1.0447987982972604
2025-07-23,0.9204989082090126,1.0663247683354395,1.1930047622243511,1.2781160666019593,1.2291707465310164,0.9646541823612615
2025-07-24,0.9326314578379481,1.2194291083796145,1.334945383933746,1.430143293179415,1.2958692696383423,0.9116682466473859
2025-07-25,0.9255472289068216,1.1275310477436105,1.2488484713470942,1.3406594080199814,1.4993822960113423,0.8877909871728741
2025-07-28,0.9092415695089437,1.0810702478761913,1.2096417257175536,1.3612519307918067,1.412731568905496,0.9259227892720484
2025-07-29,0.9054168936106243,1.06289215445618,1.2119558808262918,1.5474581529948284,1.46733095024521,0.8702135155960344
2025-07-30,0.8934524412198445,1.065021355024188,1.2355870790644286,1.6068116254773779,1.4458103352258207,0.833172104740361
2025-07-31,1.0589705797309974,1.1813285434189318,1.2443386958159157,1.6148750835705175,1.4165971560287902,1.007432679319524
2025-08-01,1.0097670783115646,1.1059854392976607,1.1995711171511727,1.448983507681716,1.3997111570058633,0.930378614315237
2025-08-04,0.9709234246263047,1.1052749776788506,1.2601427028544596,1.3681877873658097,1.4255387114650544,0.8905736928796492
2025-08-05,0.9730318150196536,1.090601277744156,1.2424763897471036,1.3098234990870288,1.3659130792129386,0.9266925975287216
2025-08-06,0.9419260892396287,1.1053535705134612,1.2866552801681799,1.3006604691010675,1.3318226760428704,0.9031522879353003
2025-08-07,0.9174884143641814,1.0639771913560503,1.2208420733103422,1.2987918580891302,1.2826776584350967,0.8564760237798934
2025-08-08,0.9041507355312833,1.0346093113374157,1.192900805084062,1.266662576760811,1.3449134904784525,0.8201206242914275
2025-08-11,0.9035710815104457,1.1081433804402159,1.361973434422024,1.546106579781697,1.3184329942427895,0.8066339679584829
2025-08-12,0.9086299689102468,1.0709700248881935,1.2686164303229213,1.5056222679614115,1.4833797100864794,0.8101272525805924
2025-08-13,0.9324701760793956,1.1865028380670337,1.3709336135354115,2.153936581060803,1.4317981089265324,0.8057380779945702
2025-08-14,0.9113210460018313,1.2145799841730844,1.3948005015286449,1.8834167582673709,1.3944284466377155,0.8529535272495227
2025-08-15,0.9255627898175005,1.4391133179563216,1.585265383004856,2.0385961035802533,1.4500434316145043,0.8216490576130893
2025-08-18,0.9518371280947788,1.41374565174758,1.5722272829322639,2.135971290559832,1.6130784042293933,0.7969825891003531
2025-08-19,0.9308745379644359,1.2555634067545967,1.3913867625325658,1.7894030620792796,1.5573087733630093,0.7777857545549941
2025-08-20,0.9814006743764939,1.2365688615955577,1.3395976555795568,1.5619898780443928,1.9381739675048562,0.811833659402712
2025-08-21,0.9530643154260222,1.1476410397141894,1.294125442124166,1.430448493075161,1.7621462032600084,0.8135645870513603
2025-08-22,1.146915774359317,1.308344013191953,1.407072543569277,2.0604156824731894,3.717885424097825,0.7906781542365526
2025-08-25,1.2572970241529091,1.4169978594366168,1.4545152261496295,2.1820036508189724,3.465693681490375,0.8176516501158444
2025-08-26,1.1394854623628738,1.2567221290056871,1.320065198102787,1.859834962141138,3.0691599165353773,0.7924264661280355
2025-08-27,1.154360602197028,1.2991399082916066,1.491054848716357,1.6298496196168184,2.6975177719997174,1.0014323834406513
2025-08-28,1.2031959551256148,1.4841821484997393,1.519638979056973,2.3064794655463654,3.6953982330823196,0.9285646387924974
2025-08-29,1.1239852239966754,1.3130280574433602,1.3611803172912285,2.1269746347991827,3.290498059577689,0.8725901048739714
2025-09-01,1.059697805706496,1.2492634577991604,1.320423845667313,2.0509848769337693,2.923223566163221,0.8350416718299957
