,收益
2020-06-24,-6.726621180357074e-06
2020-06-29,-0.0014166124062933209
2020-06-30,-0.0011922265017635827
2020-07-01,0.003739577163709537
2020-07-02,0.001600797176473981
2020-07-03,0.0066851801393561635
2020-07-06,0.014675373886746912
2020-07-07,0.04168482491492069
2020-07-08,-0.007556623705846978
2020-07-09,0.032645762625289405
2020-07-10,0.02138997818132497
2020-07-13,-0.0038571760774716106
2020-07-14,0.049995366249343066
2020-07-15,-0.020109532382780147
2020-07-16,-0.024363473298339374
2020-07-17,-0.043014993378687374
2020-07-20,0.008538582629043086
2020-07-21,0.02572501438530611
2020-07-22,0.002959122474528642
2020-07-23,5.4940622376021934e-05
2020-07-24,0.001974446801090074
2020-07-27,-0.01837318714511065
2020-07-28,0.004502431251737621
2020-07-29,0.002419103394141144
2020-07-30,0.011788341332614392
2020-07-31,-0.0007838501894007427
2020-08-03,0.002036686457960628
2020-08-04,-0.0008326619642708354
2020-08-05,-0.0003759327283393107
2020-08-06,0.0006899044527161453
2020-08-07,0.0004891821941776326
2020-08-10,0.0046917655184487775
2020-08-11,-0.005267090112772757
2020-08-12,0.020244651499395954
2020-08-13,0.015797355435361055
2020-08-14,-0.005123947985736821
2020-08-17,-0.013244700995968216
2020-08-18,-0.020522123332236762
2020-08-19,-0.004664461205150344
2020-08-20,0.01609084754385509
2020-08-21,0.0063847672158777145
2020-08-24,-0.004308373102088162
2020-08-25,-0.00998674785170398
2020-08-26,0.0042113256197096535
2020-08-27,0.02064760564374559
2020-08-28,-0.004720483546455602
2020-08-31,-0.018685640079706183
2020-09-01,0.0029750263882741003
2020-09-02,-0.004588057327112341
2020-09-03,-0.0028563671526833563
2020-09-04,0.01867380012563461
2020-09-07,-0.005544366770869822
2020-09-08,0.01776036684362554
2020-09-09,-0.004503382864652391
2020-09-10,0.01580625747674839
2020-09-11,-0.006772305762327315
2020-09-14,0.012175224317675766
2020-09-15,0.008542201816462864
2020-09-16,0.005028905907677111
2020-09-17,-0.005993811872186272
2020-09-18,0.003978191674314551
2020-09-21,0.0024832050734816947
2020-09-22,0.00024843832557565164
2020-09-23,0.005081946892410798
2020-09-24,-2.5107926320688383e-05
2020-09-25,0.00413441685877076
2020-09-28,-0.0048454495181095925
2020-09-29,-0.00720283909649187
2020-09-30,0.00884771227583112
2020-10-09,0.0035515286885064484
2020-10-12,0.013574713391099424
2020-10-13,0.021349862580485917
2020-10-14,0.0022931234239417855
2020-10-15,-0.0062748200243528465
2020-10-16,-0.004111138309710851
2020-10-19,-0.00022999804666227146
2020-10-20,0.003889391977397381
2020-10-21,-0.01121433463549918
2020-10-22,0.013156593394997314
2020-10-23,0.00668153491770274
2020-10-26,0.014823948698600714
2020-10-27,0.0004554883443305742
2020-10-28,0.004437633721866035
2020-10-29,-0.006871221711856814
2020-10-30,-0.01032954462155394
2020-11-02,0.012249050442743176
2020-11-03,0.0002751391707410881
2020-11-04,0.0010012926072930101
2020-11-05,-0.00013785332768451305
2020-11-06,-0.005681584232417344
2020-11-09,0.001255450325083596
2020-11-10,-0.017014149933702816
2020-11-11,0.011002863489619442
2020-11-12,0.009825797601521873
2020-11-13,-0.0015167320554591458
2020-11-16,-0.0038099347249463613
2020-11-17,-0.006274732555220597
2020-11-18,0.007992031499016616
2020-11-19,0.004169080066859499
2020-11-20,-0.01023430226404115
2020-11-23,-0.007074762475234424
2020-11-24,-0.008100496164534236
2020-11-25,0.0030150708101799356
2020-11-26,0.014632678795185863
2020-11-27,0.005184167218129292
2020-11-30,-0.00045304454408470654
2020-12-01,0.0013338164454193987
2020-12-02,-0.0084103421391448
2020-12-03,0.0008836850743951852
2020-12-04,0.00041684543497252344
2020-12-07,-0.008203691990236375
2020-12-08,0.0032168029797332094
2020-12-09,0.00237979606618212
2020-12-10,0.013080819268315684
2020-12-11,-0.0003050463747396276
2020-12-14,-0.013220169028976596
2020-12-15,0.009608134625692365
2020-12-16,0.0010413424136832673
2020-12-17,-0.006424852377928114
2020-12-18,0.003227882692591807
2020-12-21,7.103633823547485e-05
2020-12-22,-0.008368003347370472
2020-12-23,0.0016784536605360272
2020-12-24,-0.006034989244599409
2020-12-25,-0.00858762872025772
2020-12-28,0.0009605774748898304
2020-12-29,-0.0018800819052319463
2020-12-30,-0.0048134959006808165
2020-12-31,0.006623825672817902
2021-01-04,0.009657863412671304
2021-01-05,0.005001451719189986
2021-01-06,-0.0005767664276129788
2021-01-07,-0.004178557108004959
2021-01-08,-0.014776959684067892
2021-01-11,-0.009500522268175176
2021-01-12,-0.007237800905356765
2021-01-13,0.01722923610755845
2021-01-14,-0.011580045684186214
2021-01-15,-0.001291741735170241
2021-01-18,0.0007472265046040111
2021-01-19,0.0007055683426205508
2021-01-20,0.0036782081791828574
2021-01-21,-8.84615391496814e-05
2021-01-22,-0.0003585518003963578
2021-01-25,0.0002465885760781978
2021-01-26,0.002295196332944784
2021-01-27,0.005760099856230715
2021-01-28,-0.0005433958902799152
2021-01-29,-0.0023080483122544697
2021-02-01,-0.020382139895624162
2021-02-02,0.008454270247281941
2021-02-03,0.006464271954384411
