,h1_固定40,h1_自适应,h5_固定40,h5_自适应
2018-03-27,0.010335989976136642,0.010899191314826842,0.009627201154788436,0.005625025525758695
2018-03-28,0.015762522916013,0.02040596810257323,0.015743586275119282,0.015706861965526425
2018-03-29,-0.0003393268864880948,-0.0002742040489413694,-2.010484040075783e-05,-1.680899135785674e-05
2018-03-30,0.00048133556294537066,0.002487826960272733,0.005143130154835061,0.006043137784233235
2018-04-02,-0.01040764360872652,-0.0073316594022879295,0.009457329638211416,0.013331478510646338
2018-04-03,0.0008694501718639349,0.0007110506685418286,-0.00028916759399674226,-0.00030284021821323434
2018-04-04,0.0019561467903628747,0.0007319057214506954,0.002669436126889017,0.0009287682933299506
2018-04-09,0.004907183965675334,0.0015296164058915484,0.004981207111093894,0.0034475658846644117
2018-04-10,-0.000560679715791905,-0.0005171813078360272,-0.0005346533715440253,-0.00030665625655187294
2018-04-11,0.0,-3.6724309592858216e-05,-1.6452100891183043e-05,-9.492586431181894e-05
2018-04-12,-0.004452016099863537,-0.004650026037089082,-0.004783519361499837,-0.004800328352857694
2018-04-13,0.004614015781720316,0.004635303504680662,0.005203699813262671,0.005026018349056687
2018-04-16,0.0008606353322357493,0.0009193639238247765,0.0011474404864644126,0.001054903338006217
2018-04-17,-0.0011374342288195474,-0.001161029996824882,-0.0010298673679076658,-0.0009318292647997603
2018-04-18,0.019323281953435262,0.020815758934096113,0.0210017711630665,0.020953484531863922
2018-04-19,-0.0023763147812492966,-0.004962535183219209,-0.010203802425066587,-0.008809047615637573
2018-04-20,0.00020674164155886967,0.0001113710472895581,-0.0006861563304422183,-0.00038309007741498295
2018-04-23,0.004516606570459209,0.004547689293122999,0.01610027992823062,0.013651711590776447
2018-04-24,0.0010153540139929175,0.0017444272018094533,0.009223379045402835,0.0045243853981799245
2018-04-25,-0.006578373709583218,-0.0076515687051347215,-0.009531876250885682,-0.00140268746739808
2018-04-26,0.0014663999828570399,0.0010587797597920753,-0.00043324601928673343,-2.887016176356664e-05
2018-04-27,-0.0015570682595318847,0.002041604864643228,0.01122148340917521,0.005777030637777717
2018-05-02,-0.0005775348728774615,-0.0006318801046236726,0.0010116941785858159,0.0011547936357341648
2018-05-03,0.0012534246593014914,0.001491765497717183,-0.002108509220181459,-0.002108509220181459
2018-05-04,-0.003140225823019693,-0.0047912187691291795,0.006868356017211292,0.006824612371783558
2018-05-07,-0.0003392009900270706,-0.0004548310818233127,0.0010409569083976817,0.0009372354894207458
2018-05-08,-0.00778066722118631,-0.0099443030023401,0.010695931571009185,0.009397877808505303
2018-05-09,0.0019275972297459424,0.0011232488880533985,0.003225927308066673,0.00274631391741088
2018-05-10,-0.00017284292133162624,-0.0002950068389745995,0.0006166708618897641,0.00033974416769663187
2018-05-11,-0.0022545267732398027,-0.0025066025017132535,0.0015907288582451642,4.156208062244715e-05
2018-05-14,0.005169607926660617,0.0055468407428488666,-0.0028105087920669205,-0.0013703126131249087
2018-05-15,0.00200755535983788,0.0027616421988969765,0.0011694957335889793,0.0014075544499852497
2018-05-16,-0.0004039913432804589,-0.0007145906630230554,-0.002191183423813912,-0.004242703730243786
2018-05-17,-0.0001597161114769601,-0.0001241890599597498,-0.0007193132962035994,3.672810775689895e-05
2018-05-18,0.002456927806715799,0.00472134456817033,-0.0027312283142210646,-0.0016204525399740807
2018-05-21,-0.003611068523120993,-0.004578842283915244,0.002446516221574084,0.0005438812586015614
2018-05-22,-0.004631647556361686,-0.006087029493133467,-0.003646398337885214,-0.005993169173923059
2018-05-23,0.0005386100881055874,0.0005386100881055874,-0.0009424505248180389,-0.0005350477752827333
2018-05-24,0.0020495734169401897,0.0020184906942764006,0.005010966287098926,0.008483010652490157
2018-05-25,0.00029588805019987866,0.00010337008788119202,0.0006043561218858659,0.001673057778475435
2018-05-28,0.0039878820897995505,0.004049743965439754,0.0016209595729167426,0.00727216317419953
2018-05-29,0.0009713875209356598,0.0021624638627969154,-0.00637303072992244,0.0008775272017252519
2018-05-30,0.0010120180696383042,0.0046067070074208094,-0.007864892115825813,-0.0011964600294301104
2018-05-31,0.005919128343963508,0.01104890069618227,-0.017908001035646843,-0.006287211684582334
2018-06-01,0.011914764998571198,0.011509872233794174,0.009263799094577215,0.00817421817033822
2018-06-04,-0.009194033897867937,-0.009233066932911817,-0.00742734204356566,-0.006564442569626294
2018-06-05,0.001011485903939378,0.0008385014339433579,0.0010780197021188042,0.0008556351236228247
2018-06-06,0.0039955234419378725,0.002105449667083711,0.007891262360215588,0.007891262360215588
2018-06-07,0.0020090462586808645,0.0016863179517595313,0.002497961458224628,0.0024151847777530134
2018-06-08,-0.003533353898875646,-0.0021907283290205476,-0.009343095836336393,-0.007602528833271723
2018-06-11,-0.0011436433122286782,-0.0007238354422781897,-0.007664291363667604,-0.007368712499574396
2018-06-12,-0.0009404537763162496,0.0013538570922206209,-0.008320990885408485,-0.008982636043751109
2018-06-13,0.001030178574137392,0.0008352212115399804,0.0035639910854542564,0.003853234703964975
2018-06-14,-0.005542875385484245,-0.0036277315928774025,-0.008751383966468532,-0.009596538830188111
2018-06-15,-0.003940911969212316,-0.0025541491659472337,-0.005298248979368948,-0.005506176792882718
2018-06-19,0.0020280185215738288,-0.0012013039882506316,-0.019908776629861,-0.019930064352821346
2018-06-20,-0.06109203300864491,-0.0587116058126983,-0.0506097762020432,-0.05349050567813392
2018-06-21,0.008971669853021294,0.008971669853021294,0.008335287662226062,0.008955217752130111
2018-06-22,-0.017807606930406495,-0.017807606930406495,-0.017774345838157454,-0.01719092690025208
2018-06-25,0.015480602656748,0.015462806541798263,0.01636482854328006,0.01652941834559185
2018-06-26,-0.011150843544345935,-0.010674329747417001,-0.006215909717387712,-0.010287866563506692
2018-06-27,0.010883557907606383,0.011574616198277425,0.010777645452908999,0.00849006079282576
2018-06-28,-0.006946656144200013,-0.007306960198504002,-0.0042006966630685465,-0.0026571579371787598
2018-06-29,-0.005348612847184049,-0.0065113953026166025,-0.008251707334717156,-0.007697373506294529
2018-07-02,0.00708773693791211,0.010989949067070303,0.0053136845543904675,0.007236596364536037
2018-07-03,-0.014928959986210317,-0.014928959986210317,0.0027677353199435876,-0.010007714922473078
2018-07-04,0.009630066268160275,0.009630066268160275,0.00856212003984773,0.009630066268160275
2018-07-05,-0.009000787848988908,-0.009000787848988908,-0.008294374131970511,-0.009114001581689972
2018-07-06,-0.010009106759148694,-0.009986650836681306,-0.017324751425990284,-0.01874426706861223
2018-07-09,-0.002682209177431629,-0.0024579790898076005,-0.0029386679899760355,-0.0028751264628031365
2018-07-10,0.0007421313663896817,0.0021111711336024167,0.0047852523868728205,0.00910857498649226
2018-07-11,0.009057255782490203,0.010404355719522387,0.010892508467586957,0.012950334890160717
2018-07-12,-0.007420966007471841,-0.012088998782839477,-0.008458411073458292,-0.012130391346200581
2018-07-13,0.02244658400290593,0.02236846712995197,0.011960985762883673,0.024807443792704036
2018-07-16,0.003064189860037898,0.0038301064729823328,0.0018843042756413347,0.004177441384074202
2018-07-17,-7.846320278359517e-06,0.0003264239588200462,0.00017465830404757288,0.0009456200040418956
2018-07-18,-0.0007692624946302798,-0.0005495886207355608,-5.8212850458646294e-05,0.0003991008835259277
2018-07-19,0.003870790685785438,0.0034822704596861845,0.0005123451166941151,-0.00030348307383043976
2018-07-20,0.014093553115752446,0.011931742367809358,0.004675081868398214,-0.0004998368154159026
2018-07-23,-0.00845346744037745,-0.006565731226139628,-0.001108127762488775,-0.001592933128946722
2018-07-24,-0.007063874661129888,-0.0036474758651275714,-0.0055020949911394985,-0.0023419908273856743
2018-07-25,-0.009467094572049688,-0.006063199559656687,-0.009467094572049688,-0.002010087153213309
2018-07-26,-0.0005076928805300874,-0.00013796361309843504,-0.0005266210751732096,0.00016095158733692898
2018-07-27,0.0015255659554393463,0.001055473374499778,0.001573889962222914,0.00037293430602699384
2018-07-30,0.00572065231496967,0.004078787121061322,0.006160463254485769,0.0017989379316486612
2018-07-31,0.01628455356894613,0.0161400686070351,0.01621721520792886,0.00762803110832372
2018-08-01,-0.00226097703150654,-0.0015692931356837275,-0.0019053511805262172,-0.0009789604667756902
2018-08-02,0.01809139583568199,0.01809139583568199,0.01687122407833972,0.01143417831196828
2018-08-03,0.022019023361694666,0.021926802381798765,0.020375742387588467,0.01458649289108659
2018-08-06,0.003002691165490865,0.0008976802843396279,0.0017340043777385222,0.006228803304721148
2018-08-07,0.010455697593982856,0.009369006838452196,0.001828697886272579,0.010395511108029751
2018-08-08,-0.007462603326548147,-0.011216658625061746,0.003146816586029083,-0.00472690555979351
2018-08-09,-0.006603969818659287,-0.008480480424790724,0.003402891060372617,0.008440760891558936
2018-08-10,0.0036071143036941937,0.008967355215371288,-0.01035199772226143,-0.012463051532105572
2018-08-13,0.00019726915688511238,0.0010039713001588522,-0.005094974443545646,-0.005452214017997718
2018-08-14,-0.001191868388500089,-0.00040910646304623006,-0.0013093174656238643,-0.002967496314648558
2018-08-15,-0.0027367557425662455,-0.002754551857515982,-0.0014420547127972033,-0.0036414723780142017
2018-08-16,0.021754331984917222,0.02268848215680568,0.012421613346773738,0.021869430279101716
2018-08-17,0.0024916933468406314,0.003432459493733076,-0.002684437989384466,0.004355718435020428
2018-08-20,0.005827577930976985,0.007065637874723153,-0.011855327824559824,0.009418234341470356
2018-08-21,-0.0018097697013419642,-0.002016558159543516,0.002408685261930809,0.0001854150252706862
2018-08-22,-0.008396628775312536,-0.0071250339643832055,0.009651557417073511,0.0007683077896999614
2018-08-23,-6.214158710793571e-05,-0.000322077486758475,-0.003192048811639569,-0.002353609646320812
2018-08-24,-0.0010894632177655787,-0.001048070654404475,0.0014928585684412742,0.0006478162582656099
2018-08-27,-0.002786578886578094,-0.0025743252580988675,0.0026630601837854813,0.0008160480666262989
2018-08-28,-0.014211925407991273,-0.014675904701936632,0.014310328310871189,0.013313291617210591
2018-08-29,-0.0002493530402973905,-0.0001767583675486319,-2.781898747148926e-05,-1.1009996113632523e-05
2018-08-30,0.0019241964268983253,0.0016035331303740738,-0.004380785778142637,-0.0045318211941604665
2018-08-31,0.015955400152815824,0.015977856075283212,-0.01671901506471866,-0.01681394092903048
2018-09-03,0.006737225878563045,0.0073287013774180594,-0.009309383488697644,-0.00747123108336093
2018-09-04,0.0003997006288522676,0.001728870298517997,-0.0030907688172744064,-0.0021782648237532024
2018-09-05,-0.01171768833181005,-0.011602590037625553,0.008699712723238785,0.007565908022732765
2018-09-06,0.003255585855331106,0.00600915898696859,-0.0104947434582573,-0.010967377387163458
2018-09-07,-0.0004784862253129524,0.0014544154332282386,-0.0043666942981831925,-0.0036949360512209435
2018-09-10,0.0004970702791039282,0.0006261540746412715,0.00018440937731413687,0.00017600129957224343
2018-09-11,0.005663125484053596,0.006255281883665038,-0.0028034798649232465,-0.0020967414697108844
2018-09-12,0.007855105868017485,0.013065713142873686,-0.01103649604885831,-0.011594838473570158
2018-09-13,-0.011301802812962046,-0.011678404316979677,-0.0004055497265617194,0.003232208974055462
2018-09-14,0.00019616497997817755,0.0003340366112252295,0.0001042172519429204,-0.00021680194937249352
2018-09-17,0.004954422388820527,0.00732893246468482,0.00121848675967213,0.006188613545491421
2018-09-18,0.008062294453014053,0.013272452047697553,0.012030771666439604,0.014204839953556987
2018-09-19,0.009067221256654809,-0.003475327013660877,-0.011155397118780783,-0.010903810354525686
2018-09-20,0.011966008720586336,0.009723604263617885,-0.007712243085007475,0.0020643009827345364
2018-09-21,0.004123276947653592,0.0030617958818537384,-0.00493762260443719,-0.0010649867797079045
2018-09-25,0.0006085561494763368,-0.0003007631619155102,-0.001079885341672041,-0.0007708642551950064
2018-09-26,-0.000203119798086736,-0.00107035686140356,-0.0015579600581748566,-0.0013993236229125979
2018-09-27,-0.0024597323498037524,-0.002793104267858143,-0.002879761567065729,-0.002879761567065729
2018-09-28,0.011987003328795567,0.013651055390934457,0.014727139951303803,0.014727139951303803
2018-10-08,0.001754992799972562,0.002701141920705481,0.003944906586417846,0.003979511692725439
2018-10-09,0.001816495119679261,0.012748143052655328,0.020865070538389388,0.022246253417687177
2018-10-10,-0.0017236227528888179,-0.0017847311800416384,0.001449223018025783,0.00048822894811441017
2018-10-11,-0.007073819936734295,-0.0020807279355092964,0.008706889221969168,0.006779916542725843
