,510300_择时收益,510300_仓位,510500_择时收益,510500_仓位,512100_择时收益,512100_仓位,159915_择时收益,159915_仓位,588000_择时收益,588000_仓位,510880_择时收益,510880_仓位
2021-08-18,0.0008425340341045,0.0407421014904751,0.0007613007122842,0.1996603797959541,0.0027473715328634,0.08313176587104579,0.0027414558662014,0.0566692348015338,-0.0002234556530872,-0.1166666666666666,0.0018628493897518,0.0590229260579738
2021-08-19,-0.0002973326158814,-0.0517473601096046,0.0004193024965383,0.1189478870572605,0.0016578483610107,0.0643739399916803,0.0002055045944044,0.3111738500277998,-0.0029831185250396,0.25,-0.0002484653140351,-0.0830985506678859
2021-08-20,0.0011382579418845,-0.0216165653075853,-0.000378166733782,0.0520148642960002,0.0007588958262974,-0.16090664038904917,-0.0074308744653833,0.2615413852998159,-0.0019421215900745,0.125,-0.0003237130514072,-0.2876494333852818
2021-08-23,-0.0003871145998881,-0.1517767801279807,0.0006408024040939,0.2703237536240673,-0.0030837790435531,0.17869763032308958,0.0080069362985152,0.2776246614837576,0.0023454402515723,0.3083333333333333,-0.0015287895108988,0.1739957918080267
2021-08-24,-0.0015904481947575,-0.1435830663618855,0.0028564926328808,0.2599107553619437,0.0008294645631092,0.19021980649658668,0.0023051369143633,-0.3541832191940475,0.0028001417017484,0.175,0.0014113147199067,0.0781663906816924
2021-08-25,-0.0002739375128669,-0.2410133217627234,0.0021570211255922,0.162692741558853,0.0008659164371016,0.15196315747910688,-0.0015981134406769,-0.2453305446524951,-0.0036888177658704,0.3249999999999999,0.0010279157714771,0.1345688650124784
2021-08-26,0.0039957121792997,0.1565411429917057,-0.0006837070657575,0.250862110014967,-0.0041877139577078,0.0351665014764485,0.0058659975578928,-0.1729195551470505,-0.00933551232604,0.4,0.0018293629490386,-0.0470462465109068
2021-08-27,0.0002818289840017,-0.2291396564756858,0.0019547433305083,0.2736962559407522,0.0007825033558864,0.04800834366364848,0.0003427257583262,-0.3050668617587158,-0.0043566134892757,0.35,-0.0004586940184562,0.1030653877201644
2021-08-30,0.0008968700839268,-0.1695463676124866,0.0019389781555724,0.3019636427343145,0.000760120814262,-0.0017317795755072954,-0.0005821854830559,-0.1199251599202215,-0.0025584291298148,0.15,0.0008181271919618,-0.089630789940058
2021-08-31,0.0002050287665906,-0.2440434235048959,0.0012292217697712,0.1711879965295134,0.0005028108712595,-0.1371290048857633,0.0022497441494347,0.1082841826091195,-0.0034649214261494,0.2583333333333333,-0.0022876924345357,0.5130015922848272
2021-09-01,-0.0036222150669417,0.3407720725690968,-0.0014175313816525,0.3333182738523115,0.0009094597343117,-0.09563636389363908,-0.0003032825078866,0.0925231091362644,-0.0018786161355122,0.1083333333333332,-0.0008036376042777,0.4156641777839736
2021-09-02,-0.0003945568533292,0.0116282781980765,0.0059425256928241,0.5962836543280464,0.0022541303542394,-0.09213067967090337,-0.0014242744538913,0.1953927149542769,-0.0017244588431059,0.1666666666666666,0.0105477693839882,0.4841324255407958
2021-09-03,0.0001760351231358,-0.0543271088786463,-0.0030075939586988,0.4526294946154218,0.0002495560647545,-0.20728223256201297,-0.0021176242983758,0.2557112598895434,0.0001942271587433,-0.1333333333333333,-0.003527286046899,0.1175776937380885
2021-09-06,-0.0010672005998721,0.2242476793950886,0.0039174893763343,0.4273430845851473,0.0014530946858967,-0.19863738624178828,0.0099957287017259,0.4832837081690671,-0.0034986072981011,0.275,0.0009536625699027,0.2866798164153057
2021-09-07,0.0028691681288522,0.2568880142866755,0.0093357638657632,0.6018622834897858,0.0006714321394045,0.05450106911759854,0.0026191582963391,0.0798973101640924,4.962633592078383e-05,-0.1083333333333333,0.0072429990373617,0.4307446587568061
2021-09-08,-0.0011398830781879,0.0633975268775091,0.0038184484681354,0.5036374889833147,0.001591154710586,-0.018617919125038424,-0.0006140097674937,0.0161758781776599,0.0019155628578259,0.0416666666666666,0.0046189566000351,0.1796645644199374
