日,RV5m,BV,OFI,OFI尾,日内收益,隔夜收益,尾盘量占,委比,跳跃
2018-02-12,0.8042191598317944,0.7903242882550716,0.9999999769743001,0.9999999769743001,2.1079637096010906,0.020046223361158688,0.1460604863838859,0.0,0.14884883753214773
2018-02-13,0.48942193904675585,0.4623380852258566,0.0,0.0,-0.22067622616253058,0.014165141794930669,0.139249870458832,0.0,0.160553197943781
2018-02-14,0.5540438544169705,0.5018174487859607,0.0,0.0,0.2149196389185537,0.014797999742843793,0.20435976497038058,0.0,0.23482725717250724
2018-02-22,0.47586392426155594,0.4831784397416565,-0.3604609238411303,-0.3604609238411303,1.1777256186928708,0.061157687493573754,0.14440281798593632,0.0,0.0
2018-02-23,0.5236009033435167,0.4652839850600337,-0.6935952366963334,-0.6927010860332679,0.31862376042979257,-0.017720679177046783,0.14565254322728313,0.0,0.24014312238496666
2018-02-26,0.6130392107220565,0.6172405794615445,-0.9999990560410476,-0.9999990560410476,1.7242666585959965,0.0050402507168367805,0.1434397190176996,0.0,0.0
2018-02-27,0.7129762403370379,0.7179834229904357,-0.9999922789491024,-0.9999923607436758,0.35847823355388275,-0.005265584574176696,0.1255378679352548,0.0,0.0
2018-02-28,0.7473605540346571,0.6296351026949022,-1.0,0.0,1.2060915702984731,-0.04105884029274032,0.1285416793115259,0.0,0.402625676256954
2018-03-01,0.6689659439588677,0.6191105949239754,2.0541142738649878e-05,-0.17315060919375236,1.9838673326236345,-0.01796110068760237,0.16699533357221483,0.0,0.25341173104191556
2018-03-02,0.6613944902494118,0.6612758816018737,1.6458e-319,0.0,0.18807626822363588,-0.024242145994746167,0.1348259486999503,0.0,0.012525180395666713
